svc_type,svc_grp,code,unit_type,unit_hrs,short_desc,long_desc
Hospital Based Services,Inpatient Psychiatric Hospital,1X4,Per Diem,24,"Inpatient Psychiatric Hospital, excludes Physician costs","All inclusive room and board with ancillary, excludes physician costs"
Hospital Based Services,Inpatient Psychiatric Hospital,100,Per Diem,24,"Inpatient Psychiatric Hospital, includes Physician costs","All inclusive room and board with ancillary, includes physician costs"
Hospital Based Services,Ancillary Hospital Services,104,Minutes,0.01,Ancillary Hospital Services,NA
Hospital Based Services,Inpatient Psychiatric Hospital,113,Per Diem,24,Inpatient Psychiatric Hospital,NA
Hospital Based Services,Inpatient Psychiatric Hospital,114,Per Diem,24,"Inpatient Psychiatric Hospital, excludes Physician costs",NA
Hospital Based Services,Inpatient Psychiatric Hospital,124,Per Diem,24,"Inpatient Psychiatric Hospital, excludes Physician costs",NA
Hospital Based Services,Ancillary Hospital Services,144,Encounter,NA,Inpatient Hospital Ancillary Services - Room and Board,NA
Hospital Based Services,Ancillary Hospital Services,250,Encounter,NA,Pharmacy - General Classification,NA
Hospital Based Services,Ancillary Hospital Services,270,Encounter,NA,Medical/Surgical Supplies and Devices - General Classification,NA
Hospital Based Services,Ancillary Hospital Services,300,Encounter,NA,Laboratory - General Classification,NA
Hospital Based Services,Ancillary Hospital Services,370,Encounter,NA,Anesthesia - General Classification,NA
Hospital Based Services,Ancillary Hospital Services,410,Encounter,NA,Respiratory Services - General Classification,NA
Hospital Based Services,Ancillary Hospital Services,430,Encounter,NA,Occupational Therapy - General Classification,NA
Hospital Based Services,Ancillary Hospital Services,450,Encounter,NA,Emergency Room - General Classification,NA
Hospital Based Services,Ancillary Hospital Services,460,Encounter,NA,Pulmonary Function - General Classification,NA
Hospital Based Services,Ancillary Hospital Services,636,Encounter,NA,Pharmacy - Drugs Requiring Detailed Coding,NA
Hospital Based Services,Ancillary Hospital Services,710,Encounter,NA,ECT Recovery Room,NA
