svc_type,svc_grp,Code,Unit_Hours,n_unit_types,Revised Unit_Hours,Unit_Type
Hospital Based Services,Inpatient Psychiatric Hospital,100,24,2,,Per Diem
Hospital Based Services,Ancillary Hospital Services,104,NA,2,0.01,Minutes
Hospital Based Services,Inpatient Psychiatric Hospital,113,NA,2,24,Per Diem
Hospital Based Services,Inpatient Psychiatric Hospital,114,NA,2,24,Per Diem
Hospital Based Services,Inpatient Psychiatric Hospital,124,NA,2,24,Per Diem
Hospital Based Services,Ancillary Hospital Services,144,NA,2,N/A,Encounter
Hospital Based Services,Ancillary Hospital Services,250,NA,2,N/A,Encounter
Hospital Based Services,Ancillary Hospital Services,270,NA,2,N/A,Encounter
Hospital Based Services,Ancillary Hospital Services,300,NA,2,N/A,Encounter
Hospital Based Services,Ancillary Hospital Services,370,NA,2,N/A,Encounter
Hospital Based Services,Ancillary Hospital Services,410,NA,2,N/A,Encounter
Hospital Based Services,Ancillary Hospital Services,430,NA,2,N/A,Encounter
Hospital Based Services,Ancillary Hospital Services,450,NA,2,N/A,Encounter
Hospital Based Services,Ancillary Hospital Services,460,NA,2,N/A,Encounter
Hospital Based Services,Ancillary Hospital Services,636,NA,2,N/A,Encounter
Hospital Based Services,Ancillary Hospital Services,710,NA,2,N/A,Encounter
Hospital Based Services,Ancillary Hospital Services,730,NA,2,N/A,Encounter
Crisis Services,Extended Observation Beds,762,NA,1,,Encounter
Hospital Based Services,Ancillary Hospital Services,900,NA,2,N/A,Encounter
Hospital Based Services,Ancillary Hospital Services,901,NA,2,N/A,Encounter
Crisis Services,Partial Hospitalization,912,NA,1,24,Per Diem
Crisis Services,Partial Hospitalization,913,NA,1,24,Per Diem
Screening & Assessment,Drug/alcohol screen,80100,NA,1,,Encounter
Screening & Assessment,Drug/alcohol screen,80101,NA,1,,Encounter
Screening & Assessment,Drug/alcohol screen,80300,NA,1,,Encounter
Screening & Assessment,Drug/alcohol screen,80305,NA,1,,Encounter
Screening & Assessment,Drug/alcohol screen,80306,NA,1,,Encounter
Screening & Assessment,Drug/alcohol screen,82075,NA,1,,Encounter
Psychiatric and Medication Services,Medication Administration,90772,NA,2,,Encounter
Psychiatric and Medication Services,Medication Administration,90782,NA,2,,Encounter
Screening & Assessment,Diagnostic Assessment,90785,NA,1,,Add On
Psychiatric and Medication Services,Medication Administration,90788,NA,2,,Encounter
Screening & Assessment,Diagnostic Assessment,90791,NA,1,,Encounter
Screening & Assessment,Diagnostic Assessment,90792,NA,1,,Encounter
Screening & Assessment,Psychiatric evaluation,90801,NA,1,,Encounter
Screening & Assessment,Psychiatric evaluation,90802,NA,1,,Encounter
Outpatient Treatment,Individual Therapy,90804,0.5,4,,Encounter - 30 min
Outpatient Treatment,Individual Therapy,90805,0.5,4,,Encounter - 30 min
Outpatient Treatment,Individual Therapy,90806,0.83,4,,Encounter - 49 min
Outpatient Treatment,Individual Therapy,90807,0.83,4,,Encounter - 49 min
Outpatient Treatment,Individual Therapy,90808,1.33,4,,Encounter - 80 min
Outpatient Treatment,Individual Therapy,90809,1.33,4,,Encounter - 80 min
Outpatient Treatment,Individual Therapy,90810,0.5,4,,Encounter - 30 min
Outpatient Treatment,Individual Therapy,90811,0.5,4,,Encounter - 30 min
Outpatient Treatment,Individual Therapy,90812,0.83,4,,Encounter - 49 min
Outpatient Treatment,Individual Therapy,90813,0.83,4,,Encounter - 49 min
Outpatient Treatment,Individual Therapy,90814,1.33,4,,Encounter - 80 min
Outpatient Treatment,Individual Therapy,90815,1.33,4,,Encounter - 80 min
Outpatient Treatment,Individual Therapy,90816,0.5,4,,Encounter - 30 min
Outpatient Treatment,Individual Therapy,90817,0.5,4,,Encounter - 30 min
Outpatient Treatment,Individual Therapy,90818,0.83,4,,Encounter - 49 min
Outpatient Treatment,Individual Therapy,90819,0.83,4,,Encounter - 49 min
Outpatient Treatment,Individual Therapy,90821,1.33,4,,Encounter - 80 min
Outpatient Treatment,Individual Therapy,90822,1.33,4,,Encounter - 80 min
Outpatient Treatment,Individual Therapy,90823,0.5,4,,Encounter - 30 min
Outpatient Treatment,Individual Therapy,90824,0.5,4,,Encounter - 30 min
Outpatient Treatment,Individual Therapy,90826,0.83,4,,Encounter - 49 min
Outpatient Treatment,Individual Therapy,90827,0.83,4,,Encounter - 49 min
Outpatient Treatment,Individual Therapy,90828,1.33,4,,Encounter - 80 min
Outpatient Treatment,Individual Therapy,90829,1.33,4,,Encounter - 80 min
Outpatient Treatment,Individual Therapy,90832,NA,3,0.5,Encounter - 30 min
Psychiatric and Medication Services,Psychotherapy add-on to E/M service,90833,NA,3,0.5,Add On
Outpatient Treatment,Individual Therapy,90834,NA,3,0.75,Encounter - 45 min
Psychiatric and Medication Services,Psychotherapy add-on to E/M service,90836,0.5,3,0.75,Add on
Outpatient Treatment,Individual Therapy,90837,0.5,3,1,Hour
Psychiatric and Medication Services,Psychotherapy add-on to E/M service,90838,0.83,3,1,Add On
Crisis Services,Psychotherapy for crisis,90839,0.83,1,1,Hour
Crisis Services,Psychotherapy for crisis,90840,0.83,1,0.5,Encounter - 30 min
Outpatient Treatment,Family Therapy,90846,1.33,3,N/A,Encounter
Outpatient Treatment,Family Therapy,90847,1.33,3,N/A,Encounter
Outpatient Treatment,Group Therapy,90849,0.5,2,N/A,Encounter
Outpatient Treatment,Group Therapy,90853,0.5,2,N/A,Encounter
Outpatient Treatment,Group Therapy,90857,NA,2,,Encounter
Psychiatric and Medication Services,Medication Management,90862,NA,3,,Encounter
Hospital Based Services,Ancillary Hospital Services,90870,0.83,2,N/A,Encounter
Screening & Assessment,Psychological Testing,90887,1.33,4,N/A,Encounter 
Health Services,Speech & Language Therapy,92506,1.33,4,N/A,Encounter
Health Services,Speech & Language Therapy,92507,1.33,4,N/A,Encounter
Health Services,Speech & Language Therapy,92508,1.33,4,N/A,Encounter
Screening & Assessment,Speech evaluation,92521,0.5,2,N/A,Encounter
Screening & Assessment,Speech evaluation,92522,0.5,2,N/A,Encounter
Health Services,Speech & Language Therapy,92523,0.83,4,N/A,Encounter
Health Services,Speech & Language Therapy,92524,NA,4,,Encounter
Health Services,Speech & Language Therapy,92526,1.33,4,N/A,Encounter
Health Services,Speech & Language Therapy,92607,1,4,,Hour
Health Services,Speech & Language Therapy,92608,NA,4,0.5,Encounter - 30 min
Health Services,Speech & Language Therapy,92609,NA,4,,Encounter
Screening & Assessment,Speech evaluation,92610,1.33,2,N/A,Encounter
Screening & Assessment,Psychological Testing,96100,1,4,,Hour
Screening & Assessment,Psychological Testing,96101,0.83,4,1,Hour
Screening & Assessment,Psychological Testing,96102,1,4,,Hour
Screening & Assessment,Psychological Testing,96103,1,4,,Hour
Screening & Assessment,Psychological Testing,96105,NA,4,,Encounter 
Screening & Assessment,Developmental Screen,96110,NA,1,,Encounter
Screening & Assessment,Developmental Screen,96111,NA,1,,Encounter
Screening & Assessment,Psychological Testing,96115,1,4,,Hour
Screening & Assessment,Psychological Testing,96116,1,4,,Hour
Screening & Assessment,Psychological Testing,96117,1,4,,Hour
Screening & Assessment,Psychological Testing,96118,1,4,,Hour
Screening & Assessment,Psychological Testing,96119,1,4,,Hour
Screening & Assessment,Psychological Testing,96120,1,4,,Hour
