CMH Name,FirstOfService Description,FirstOfRevenue Code,FirstOfHCPCS Code,FirstOfModifier,FirstOfUnit type,SumOfDD-Cases,SumOfDD-Units,SumOfDD-Cost
Allegan,State Psychiatric Hospital - Inpatient PT22,"0100, 0101, 0114, 0124, 0134, 0154",,PT22,Day,1,244,78563.46
Allegan,State Mental Retardation Facility - Inpatient (ICF/MR) PT65,100,,PT65,Day,0,0,0.00
Allegan,Local Psychiatric Hospital/IMD PT68,"0100, 0101, 0114, 0124, 0134, 0154",,PT68,Day,2,7,2161.39
Allegan,Local Psychiatric Hospital - Acute Community PT73,"0100, 0101, 0114, 0124, 0134, 0154",,PT73,Day,10,119,80010.84
Allegan,Inpatient Hospital Ancillary Services - Room and Board,144,,,Day,0,0,0.00
Allegan,Inpatient Hospital Ancillary Services - Leave of Absence,183,,,Day,0,0,0.00
Allegan,Inpatient Hospital Ancillary Services - Pharmacy,"0250-0254, 0257-0258",,,,0,0,0.00
Allegan,Inpatient Hospital Ancillary Services - Medical/Surgical Supplies and Devices,0270-0272,,,# of items,0,0,0.00
Allegan,Inpatient Hospital Ancillary Services - Laboratory,"0300-0302, 0305-0307",,,# of tests,0,0,0.00
Allegan,Inpatient Hospital Ancillary Services - Radiology,320,,,# of tests,0,0,0.00
Allegan,ECT Anesthesia,370,,,,0,0,0.00
Allegan,Inpatient Hospital Ancillary Services - Respiratory Services,410,,,# of treatments,0,0,0.00
Allegan,Inpatient Hospital Ancillary Services -Physical Therapy,0420-0424,,,# of treatments,0,0,0.00
Allegan,Inpatient Hospital Ancillary Services - Occupational Therapy,0430-0434,,,# of treatments,0,0,0.00
Allegan,Inpatient Hospital Ancillary Services - Speech-Language Pathology,0440-0444,,,# of treatments,0,0,0.00
Allegan,Inpatient Hospital Ancillary Services - Emergency Room,450,,,# of visits,0,0,0.00
Allegan,Inpatient Hospital Ancillary Services - Pulmonary Function,460,,,# of tests,0,0,0.00
Allegan,Inpatient Hospital Ancillary Services - Audiology,0470-0472,,,# of tests,0,0,0.00
Allegan,Inpatient Hospital Ancillary Services - Magnetic Resonance Technology (MRT),0610-0611,,,# of tests,0,0,0.00
Allegan,Inpatient Hospital Ancillary Services - Pharmacy,636,,,# of units,0,0,0.00
Allegan,ECT Recovery Room,710,,,,0,0,0.00
Allegan,Inpatient Hospital Ancillary Services -EKG/ECG,0730-0731,,,# of tests,0,0,0.00
Allegan,Inpatient Hospital Ancillary Services - EEG,740,,,# of tests,0,0,0.00
Allegan,Crisis Observation Care,762,,,Hour,0,0,0.00
Allegan,Additional Codes-ECT Facility Charge,901,,,Encounter,0,0,0.00
Allegan,Inpatient Hospital Ancillary Services - Psychiatric/Psychological Treatments/Services,"0900, 0902-0904, 0911, 0914-0919",,,# of visits,0,0,0.00
Allegan,Outpatient Partial Hospitalization,912,,,Day,2,7,2709.00
Allegan,Outpatient Partial Hospitalization,913,,,Day,0,0,0.00
Allegan,Inpatient Hospital Ancillary Services - Other Diagnosis Services,925,,,# of tests,0,0,0.00
Allegan,Inpatient Hospital Ancillary Services - Other Therapeutic Services,0940-0942,,,# of visits,0,0,0.00
Allegan,Additional Codes-ECT Anesthesia,,104,,Minutes,0,0,0.00
Allegan,Additional Codes-ECT Anesthesia,901,104,,Minutes,0,0,0.00
Allegan,Drug Screen for Methadone Clients Only,,80100,,Per Screen,0,0,0.00
Allegan,Drug Screen for Methadone Clients Only,,80101,,Per Screen,0,0,0.00
Allegan,Drug Screen for Methadone Clients Only,,80300,,per date of service,0,0,0.00
Allegan,Drug Screen for Methadone Clients Only,,80301,,per date of service,0,0,0.00
Allegan,Drug Screen for Methadone Clients Only,,80302,,each procedure,0,0,0.00
Allegan,Drug Screen for Methadone Clients Only,,80303,,per date of service,0,0,0.00
Allegan,Drug Screen for Methadone Clients Only,,80304,,each procedure,0,0,0.00
Allegan,Interactive Complexity - Add On Code,,90785,,,0,0,0.00
Allegan,Assessment for Autism,,90785,U5,,0,0,0.00
Allegan,Interactive Complexity - Add On Code - SUD,,90785,HF,,0,0,0.00
Allegan,Assessment,,90791,,Encounter,56,58,21460.00
Allegan,Assessment for Autism,,90791,U5,Encounter,0,0,0.00
Allegan,Assessment,,90792,,Encounter,36,36,13320.00
Allegan,Assessment for Autism,,90792,U5,Encounter,0,0,0.00
Allegan,Mental Health: Outpatient Care,,90832,,30 Minutes,46,290,44080.00
Allegan,Substance abuse: Outpatient Care,"0900, 0906, 0914, 0915, 0916, 0919",90832,HF,30 Minutes,0,0,0.00
Allegan,Assessment,,90833,,30 Minutes,0,0,0.00
Allegan,Assessment for Autism,,90833,U5,30 Minutes,0,0,0.00
Allegan,Mental Health: Outpatient Care,,90834,,45 Minutes,41,240,55920.00
Allegan,Substance abuse: Outpatient Care,"0900, 0906, 0914, 0915, 0916, 0919",90834,HF,45 Minutes,0,0,0.00
Allegan,Assessment,,90836,,45 Minutes,0,0,0.00
Allegan,Assessment for Autism,,90836,U5,45 Minutes,0,0,0.00
Allegan,Mental Health: Outpatient Care,,90837,,60 Minutes,40,223,78719.00
Allegan,Substance abuse: Outpatient Care,,90837,HF,60 Minutes,0,0,0.00
Allegan,Assessment,,90838,,60 Minutes,0,0,0.00
Allegan,Assessment for Autism,,90838,U5,60 Minutes,0,0,0.00
Allegan,Psychotherapy for Crisis First 60 Minutes,,90839,,First 30-74 Min.,0,0,0.00
Allegan,Psychotherapy for Crisis Each Additional 30 Minutes,,90840,,Each Additional 30 Minutes,0,0,0.00
