CMH Name,FirstOfService Description,FirstOfRevenue Code,FirstOfHCPCS Code,FirstOfModifier,FirstOfUnit type,SumOfDD-Cases,SumOfDD-Units,SumOfDD-Cost,SumOfOther Cost,FirstOfDD Unique Consumers
Allegan,Local Psychiatric Hospital/IMD PT68 Bundled per diem,100,,PT68,Day,2,48,43962,555968.12,481
Allegan,Local Psychiatric Hospital/IMD PT68 Bundled per diem,100,,PT68,Day,2,25,944,20190.32,481
Allegan,Local Psychiatric Hospital/IMD PT68 Physician costs excluded,"0114, 0124, 0134, 0154",,PT68,Day,0,0,0,0,481
Allegan,Local Psychiatric Hospital/IMD PT68 Physician costs excluded,"0114, 0124, 0134, 0154",,PT68,Day,0,0,0,0,481
Allegan,Local Psychiatric Hospital - Acute Community PT73 Bundled per diem,100,,PT73,Day,0,0,0,892498.59,481
Allegan,Local Psychiatric Hospital - Acute Community PT73 Bundled per diem,100,,PT73,Day,0,0,0,21859,481
Allegan,Local Psychiatric Hospital - Acute Community PT73 Physician costs excluded,"0114, 0124, 0134, 0154",,PT73,Day,1,22,16918,225908.37,481
Allegan,Local Psychiatric Hospital - Acute Community PT73 Physician costs excluded,"0114, 0124, 0134, 0154",,PT73,Day,0,0,0,13008.26,481
Allegan,Cost Estimates of Current Year IBNR/Accrual Local Psychiatric Hospital/IMD,,,PT68,Amount,0,0,0,0,481
Allegan,Cost Estimates of Current Year IBNR/Accrual Local Psychiatric Hospital/Acute Community,,,PT73,Amount,0,0,0,9228,481
Allegan,Inpatient Hospital Ancillary Services - Room and Board,144,,,Day,0,0,0,0,481
Allegan,Inpatient Hospital Ancillary Services - Leave of Absence,183,,,Day,0,0,0,0,481
Allegan,Inpatient Hospital Ancillary Services - Pharmacy,"0250-0254, 0257-0258 ",,,,0,0,0,0,481
Allegan,Inpatient Hospital Ancillary Services - Medical/Surgical Supplies and Devices,0270-0272,,,# of items,0,0,0,0,481
Allegan,Inpatient Hospital Ancillary Services - Laboratory,"0300-0302, 0305-0307",,,# of tests,0,0,0,0,481
Allegan,Inpatient Hospital Ancillary Services - Radiology,320,,,# of tests,0,0,0,0,481
Allegan,ECT Anesthesia,370,,,,0,0,0,0,481
Allegan,Inpatient Hospital Ancillary Services - Respiratory Services,410,,,# of treatments,0,0,0,0,481
Allegan,Inpatient Hospital Ancillary Services -Physical Therapy,0420-0424,,,# of treatments,0,0,0,0,481
Allegan,Inpatient Hospital Ancillary Services - Occupational Therapy,0430-0434,,,# of treatments,0,0,0,0,481
Allegan,Inpatient Hospital Ancillary Services - Speech-Language Pathology,0440-0444,,,# of treatments,0,0,0,0,481
Allegan,Inpatient Hospital Ancillary Services - Emergency Room,450,,,# of visits,0,0,0,0,481
Allegan,Inpatient Hospital Ancillary Services - Pulmonary Function,460,,,# of tests,0,0,0,0,481
Allegan,Inpatient Hospital Ancillary Services - Audiology,0470-0472,,,# of tests,0,0,0,0,481
Allegan,Inpatient Hospital Ancillary Services - Magnetic Resonance Technology (MRT),0610-0611,,,# of tests,0,0,0,0,481
Allegan,Inpatient Hospital Ancillary Services - Pharmacy,636,,,# of units,0,0,0,0,481
Allegan,ECT Recovery Room,710,,,,0,0,0,0,481
Allegan,Inpatient Hospital Ancillary Services -EKG/ECG,0730-0731,,,# of tests,0,0,0,0,481
Allegan,Inpatient Hospital Ancillary Services - EEG,740,,,# of tests,0,0,0,0,481
Allegan,Crisis Observation Care,762,,,Hour,0,0,0,0,481
Allegan,Additional Codes-ECT Facility Charge,901,,,Encounter,0,0,0,0,481
Allegan,Inpatient Hospital Ancillary Services - Psychiatric/Psychological Treatments/Services,"0900, 0902-0904, 0911, 0914-0919",,,# of visits,0,0,0,42,481
Allegan,Outpatient Partial Hospitalization,912,,,Day,0,0,0,42067.77,481
Allegan,Outpatient Partial Hospitalization,913,,,Day,0,0,0,0,481
Allegan,Inpatient Hospital Ancillary Services - Other Diagnosis Services,925,,,# of tests,0,0,0,0,481
Allegan,Inpatient Hospital Ancillary Services - Other Therapeutic Services,0940-0942,,,# of visits,0,0,0,0,481
Allegan,Additional Codes-ECT Anesthesia,,104,,Minutes,0,0,0,0,481
Allegan,Additional Codes-ECT Anesthesia,901,104,,Minutes,0,0,0,0,481
