CMH Name,FirstOfService Description,FirstOfRevenue Code,FirstOfHCPCS Code,FirstOfModifier,FirstOfUnit type,SumOfDD-Cases,SumOfDD-Units,SumOfDD-Cost,SumOfOther Cost
Allegan,"Local Psychiatric Hospital/IMD PT68 
bundled per diem",0100,,PT68,Day,3,29,24873,904562
Allegan,"Local Psychiatric Hospital/IMD PT68
bundled per diem",0100,,PT68,Day,3,41,3698,26153
Allegan,"Local Psychiatric Hospital/IMD PT68
physician costs excluded","0114, 0124, 0134, 0154",,PT68,Day,0,0,0,6384
Allegan,"Local Psychiatric Hospital/IMD PT68
physician costs excluded","0114, 0124, 0134, 0154",,PT68,Day,0,0,0,0
Allegan,"Local Psychiatric Hospital - Acute Community PT73
bundled per diem",0100,,PT73,Day,0,0,0,347003
Allegan,"Local Psychiatric Hospital - Acute Community PT73
bundled per diem",0100,,PT73,Day,0,0,0,11143
Allegan,"Local Psychiatric Hospital - Acute Community PT73
physician costs excluded","0114, 0124, 0134, 0154",,PT73,Day,2,8,4750,203543
Allegan,"Local Psychiatric Hospital - Acute Community PT73
physician costs excluded","0114, 0124, 0134, 0154",,PT73,Day,1,8,186,2377
Allegan,Local Psychiatric Hospital/IMD,,,PT68,Amount,0,0,0,40601
Allegan,Local Psychiatric Hospital/Acute Community,,,PT73,Amount,0,0,3896,31776
Allegan,Inpatient Hospital Ancillary Services - Room and Board,0144,,,Day,0,0,0,0
Allegan,Inpatient Hospital Ancillary Services - Leave of Absence,0183,,,Day,0,0,0,0
Allegan,Inpatient Hospital Ancillary Services - Pharmacy,"0250-0254, 0257-0258 ",,,,0,0,0,0
Allegan,Inpatient Hospital Ancillary Services - Medical/Surgical Supplies and Devices,0270-0272,,,# of items,0,0,0,0
Allegan,Inpatient Hospital Ancillary Services - Laboratory,"0300-0302, 0305-0307",,,# of tests,0,0,0,0
Allegan,Inpatient Hospital Ancillary Services - Radiology,0320,,,# of tests,0,0,0,0
Allegan,ECT Anesthesia,0370,,,,0,0,0,0
Allegan,Inpatient Hospital Ancillary Services - Respiratory Services,0410,,,# of treatments,0,0,0,0
Allegan,Inpatient Hospital Ancillary Services -Physical Therapy,0420-0424,,,# of treatments,0,0,0,0
Allegan,Inpatient Hospital Ancillary Services - Occupational Therapy,0430-0434,,,# of treatments,0,0,0,0
Allegan,Inpatient Hospital Ancillary Services - Speech-Language Pathology,0440-0444,,,# of treatments,0,0,0,0
Allegan,Inpatient Hospital Ancillary Services - Emergency Room,0450,,,# of visits,0,0,0,0
Allegan,Inpatient Hospital Ancillary Services - Pulmonary Function,0460,,,# of tests,0,0,0,0
Allegan,Inpatient Hospital Ancillary Services - Audiology,0470-0472,,,# of tests,0,0,0,0
Allegan,Inpatient Hospital Ancillary Services - Magnetic Resonance Technology (MRT),0610-0611,,,# of tests,0,0,0,0
Allegan,Inpatient Hospital Ancillary Services - Pharmacy,0636,,,# of units,0,0,0,0
Allegan,ECT Recovery Room,0710,,,,0,0,0,0
Allegan,Inpatient Hospital Ancillary Services -EKG/ECG,0730-0731,,,# of tests,0,0,0,0
Allegan,Inpatient Hospital Ancillary Services - EEG,0740,,,# of tests,0,0,0,0
Allegan,Crisis Observation Care,0762,,,Hour,0,0,0,0
Allegan,Additional Codes-ECT Facility Charge,0901,,,Encounter,0,0,0,0
Allegan,Inpatient Hospital Ancillary Services - Psychiatric/Psychological Treatments/Services,"0900, 0902-0904, 0911, 0914-0919",,,# of visits,0,0,0,0
Allegan,Outpatient Partial Hospitalization,0912,,,Day,0,0,0,21937
Allegan,Outpatient Partial Hospitalization,0913,,,Day,0,0,0,0
Allegan,Inpatient Hospital Ancillary Services - Other Diagnosis Services,0925,,,# of tests,0,0,0,0
Allegan,Inpatient Hospital Ancillary Services - Other Therapeutic Services,0940-0942,,,# of visits,0,0,0,0
Allegan,Additional Codes-ECT Anesthesia,,00104,,Minutes,0,0,0,0
Allegan,Additional Codes-ECT Anesthesia,0901,00104,,Minutes,0,0,0,0
Allegan,ABA Behavior Identification Assessment,,0359T,U5,Encounter,75,115,62177,68115
Allegan,ABA Behavioral Follow-up Assessment,,0362T,U5,First 30 Minutes,8,19,1317,1317
Allegan,ABA Behavioral Follow-up Assessment,,0363T,U5,Each Additional 30 Minutes,7,30,2079,2079
Allegan,ABA Adaptive Treatment,,0364T,U5,First 30 Minutes,82,8229,266142,302357
Allegan,ABA Adaptive Treatment,,0365T,U5,Each Additional 30 Minutes,82,39482,1269633,1450164
Allegan,ABA Group Adaptive Behavior Treatment,,0366T,U5,First 30 Minutes,0,0,0,0
Allegan,ABA Group Adaptive Behavior Treatment,,0367T,U5,Each Additional 30 Minutes,0,0,0,0
Allegan,ABA Clinical Observation and Direction of Adaptive Behavior Treatment,,0368T,U5,First 30 Minutes,82,2123,144957,162966
Allegan,ABA Clinical Observation and Direction of Adaptive Behavior Treatment,,0369T,U5,Each Additional 30 Minutes,82,3785,259810,297266
Allegan,ABA Family Behavior Treatment Guidance,,0370T,U5,Encounter,65,434,59674,64664
Allegan,ABA Family Behavior Treatment Guidance,,0371T,U5,Encounter,0,0,0,0
Allegan,ABA Adaptive Behavior Treatment Social Skills Group,,0372T,U5,Encounter,0,0,0,0
Allegan,ABA Exposure Adaptive Behavior Treatment,,0373T,U5,First 60 Minutes,3,119,15149,15149
Allegan,ABA Exposure Adaptive Behavior Treatment,,0374T,U5,Each Additional 30 Minutes,3,674,42968,42968
Allegan,Drug Screen,,80305,,Encounter,0,0,0,0
Allegan,Drug Screen,,80306,,Encounter,0,0,0,0
Allegan,Drug Screen,,80307,,Encounter,0,0,0,0
Allegan,Interactive Complexity - Add On Code,,90785,,Encounter,0,0,0,0
Allegan,Assessment for Autism,,90785,U5,Encounter,0,0,0,0
Allegan,Substance Abuse - Interactive Complexity - Add On Code,,90785,HF,Encounter,0,0,0,0
Allegan,Assessment,,"90791
",,Encounter,1,1,734,5321
