"CMH Name","DD Group Num","DD Serv Num","FirstOfService Description","FirstOfRevenue Code","FirstOfModifier","FirstOfHCPCS Code","FirstOfUnit type","SumOfDD-Cases","SumOfDD-Units","SumOfDD-Cost","SumOfOther Cost","FirstOfDD Totals","FirstOfDD Unique Consumers"
"Allegan",3,3,"Local Psychiatric Hospital/IMD PT68 
bundled per diem","0100","PT68",,"Day",3.00,29.00,24873.00,904562.00,14064180.00,558.00
"Allegan",4,4,"Local Psychiatric Hospital/IMD PT68
bundled per diem","0100","PT68",,"Day",3.00,41.00,3698.00,26153.00,14064180.00,558.00
"Allegan",5,5,"Local Psychiatric Hospital/IMD PT68
physician costs excluded","0114, 0124, 0134, 0154","PT68",,"Day",0.00,0.00,0.00,6384.00,14064180.00,558.00
"Allegan",6,6,"Local Psychiatric Hospital/IMD PT68
physician costs excluded","0114, 0124, 0134, 0154","PT68",,"Day",0.00,0.00,0.00,0.00,14064180.00,558.00
"Allegan",7,7,"Local Psychiatric Hospital - Acute Community PT73
bundled per diem","0100","PT73",,"Day",0.00,0.00,0.00,347003.00,14064180.00,558.00
"Allegan",8,8,"Local Psychiatric Hospital - Acute Community PT73
bundled per diem","0100","PT73",,"Day",0.00,0.00,0.00,11143.00,14064180.00,558.00
"Allegan",9,9,"Local Psychiatric Hospital - Acute Community PT73
physician costs excluded","0114, 0124, 0134, 0154","PT73",,"Day",2.00,8.00,4750.00,203543.00,14064180.00,558.00
"Allegan",10,10,"Local Psychiatric Hospital - Acute Community PT73
physician costs excluded","0114, 0124, 0134, 0154","PT73",,"Day",1.00,8.00,186.00,2377.00,14064180.00,558.00
"Allegan",12,12,"Local Psychiatric Hospital/IMD",,"PT68",,"Amount",0.00,0.00,0.00,40601.00,14064180.00,558.00
"Allegan",13,13,"Local Psychiatric Hospital/Acute Community",,"PT73",,"Amount",0.00,0.00,3896.00,31776.00,14064180.00,558.00
"Allegan",16,16,"Inpatient Hospital Ancillary Services - Room and Board","0144",,,"Day",0.00,0.00,0.00,0.00,14064180.00,558.00
"Allegan",17,17,"Inpatient Hospital Ancillary Services - Leave of Absence","0183",,,"Day",0.00,0.00,0.00,0.00,14064180.00,558.00
"Allegan",18,18,"Inpatient Hospital Ancillary Services - Pharmacy","0250-0254, 0257-0258 ",,,,0.00,0.00,0.00,0.00,14064180.00,558.00
"Allegan",19,19,"Inpatient Hospital Ancillary Services - Medical/Surgical Supplies and Devices","0270-0272",,,"# of items",0.00,0.00,0.00,0.00,14064180.00,558.00
"Allegan",20,20,"Inpatient Hospital Ancillary Services - Laboratory","0300-0302, 0305-0307",,,"# of tests",0.00,0.00,0.00,0.00,14064180.00,558.00
"Allegan",21,21,"Inpatient Hospital Ancillary Services - Radiology","0320",,,"# of tests",0.00,0.00,0.00,0.00,14064180.00,558.00
"Allegan",22,22,"ECT Anesthesia","0370",,,,0.00,0.00,0.00,0.00,14064180.00,558.00
"Allegan",23,23,"Inpatient Hospital Ancillary Services - Respiratory Services","0410",,,"# of treatments",0.00,0.00,0.00,0.00,14064180.00,558.00
"Allegan",24,24,"Inpatient Hospital Ancillary Services -Physical Therapy","0420-0424",,,"# of treatments",0.00,0.00,0.00,0.00,14064180.00,558.00
"Allegan",25,25,"Inpatient Hospital Ancillary Services - Occupational Therapy","0430-0434",,,"# of treatments",0.00,0.00,0.00,0.00,14064180.00,558.00
"Allegan",26,26,"Inpatient Hospital Ancillary Services - Speech-Language Pathology","0440-0444",,,"# of treatments",0.00,0.00,0.00,0.00,14064180.00,558.00
"Allegan",27,27,"Inpatient Hospital Ancillary Services - Emergency Room","0450",,,"# of visits",0.00,0.00,0.00,0.00,14064180.00,558.00
"Allegan",28,28,"Inpatient Hospital Ancillary Services - Pulmonary Function","0460",,,"# of tests",0.00,0.00,0.00,0.00,14064180.00,558.00
"Allegan",29,29,"Inpatient Hospital Ancillary Services - Audiology","0470-0472",,,"# of tests",0.00,0.00,0.00,0.00,14064180.00,558.00
"Allegan",30,30,"Inpatient Hospital Ancillary Services - Magnetic Resonance Technology (MRT)","0610-0611",,,"# of tests",0.00,0.00,0.00,0.00,14064180.00,558.00
"Allegan",31,31,"Inpatient Hospital Ancillary Services - Pharmacy","0636",,,"# of units",0.00,0.00,0.00,0.00,14064180.00,558.00
"Allegan",32,32,"ECT Recovery Room","0710",,,,0.00,0.00,0.00,0.00,14064180.00,558.00
"Allegan",33,33,"Inpatient Hospital Ancillary Services -EKG/ECG","0730-0731",,,"# of tests",0.00,0.00,0.00,0.00,14064180.00,558.00
"Allegan",34,34,"Inpatient Hospital Ancillary Services - EEG","0740",,,"# of tests",0.00,0.00,0.00,0.00,14064180.00,558.00
"Allegan",35,35,"Crisis Observation Care","0762",,,"Hour",0.00,0.00,0.00,0.00,14064180.00,558.00
"Allegan",36,36,"Additional Codes-ECT Facility Charge","0901",,,"Encounter",0.00,0.00,0.00,0.00,14064180.00,558.00
"Allegan",37,37,"Inpatient Hospital Ancillary Services - Psychiatric/Psychological Treatments/Services","0900, 0902-0904, 0911, 0914-0919",,,"# of visits",0.00,0.00,0.00,0.00,14064180.00,558.00
"Allegan",38,38,"Outpatient Partial Hospitalization","0912",,,"Day",0.00,0.00,0.00,21937.00,14064180.00,558.00
"Allegan",39,39,"Outpatient Partial Hospitalization","0913",,,"Day",0.00,0.00,0.00,0.00,14064180.00,558.00
"Allegan",40,40,"Inpatient Hospital Ancillary Services - Other Diagnosis Services","0925",,,"# of tests",0.00,0.00,0.00,0.00,14064180.00,558.00
"Allegan",41,41,"Inpatient Hospital Ancillary Services - Other Therapeutic Services","0940-0942",,,"# of visits",0.00,0.00,0.00,0.00,14064180.00,558.00
"Allegan",42,42,"Additional Codes-ECT Anesthesia",,,"00104","Minutes",0.00,0.00,0.00,0.00,14064180.00,558.00
"Allegan",43,43,"Additional Codes-ECT Anesthesia","0901",,"00104","Minutes",0.00,0.00,0.00,0.00,14064180.00,558.00
"Allegan",44,44,"ABA Behavior Identification Assessment",,"U5","0359T","Encounter",75.00,115.00,62177.00,68115.00,14064180.00,558.00
"Allegan",45,45,"ABA Behavioral Follow-up Assessment",,"U5","0362T","First 30 Minutes",8.00,19.00,1317.00,1317.00,14064180.00,558.00
"Allegan",46,46,"ABA Behavioral Follow-up Assessment",,"U5","0363T","Each Additional 30 Minutes",7.00,30.00,2079.00,2079.00,14064180.00,558.00
