CMH Name,FirstOfService Description,FirstOfRevenue Code,FirstOfHCPCS Code,FirstOfModifier,FirstOfUnit type,SumOfMIA-Cases,SumOfMIA-Units,SumOfMIA-Cost
Allegan,State Psychiatric Hospital - Inpatient PT22,"0100, 0101, 0114, 0124, 0134, 0154",,PT22,Day,6,788,253721.35
Allegan,State Mental Retardation Facility - Inpatient (ICF/MR) PT65,100,,PT65,Day,0,0,0.00
Allegan,Local Psychiatric Hospital/IMD PT68,"0100, 0101, 0114, 0124, 0134, 0154",,PT68,Day,35,410,126595.70
Allegan,Local Psychiatric Hospital - Acute Community PT73,"0100, 0101, 0114, 0124, 0134, 0154",,PT73,Day,170,1299,873395.64
Allegan,Inpatient Hospital Ancillary Services - Room and Board,144,,,Day,0,0,0.00
Allegan,Inpatient Hospital Ancillary Services - Leave of Absence,183,,,Day,0,0,0.00
Allegan,Inpatient Hospital Ancillary Services - Pharmacy,"0250-0254, 0257-0258",,,,0,0,0.00
Allegan,Inpatient Hospital Ancillary Services - Medical/Surgical Supplies and Devices,0270-0272,,,# of items,0,0,0.00
Allegan,Inpatient Hospital Ancillary Services - Laboratory,"0300-0302, 0305-0307",,,# of tests,0,0,0.00
Allegan,Inpatient Hospital Ancillary Services - Radiology,320,,,# of tests,0,0,0.00
Allegan,ECT Anesthesia,370,,,,0,0,0.00
Allegan,Inpatient Hospital Ancillary Services - Respiratory Services,410,,,# of treatments,0,0,0.00
Allegan,Inpatient Hospital Ancillary Services -Physical Therapy,0420-0424,,,# of treatments,0,0,0.00
Allegan,Inpatient Hospital Ancillary Services - Occupational Therapy,0430-0434,,,# of treatments,0,0,0.00
Allegan,Inpatient Hospital Ancillary Services - Speech-Language Pathology,0440-0444,,,# of treatments,0,0,0.00
Allegan,Inpatient Hospital Ancillary Services - Emergency Room,450,,,# of visits,0,0,0.00
Allegan,Inpatient Hospital Ancillary Services - Pulmonary Function,460,,,# of tests,0,0,0.00
Allegan,Inpatient Hospital Ancillary Services - Audiology,0470-0472,,,# of tests,0,0,0.00
Allegan,Inpatient Hospital Ancillary Services - Magnetic Resonance Technology (MRT),0610-0611,,,# of tests,0,0,0.00
Allegan,Inpatient Hospital Ancillary Services - Pharmacy,636,,,# of units,0,0,0.00
Allegan,ECT Recovery Room,710,,,,0,0,0.00
Allegan,Inpatient Hospital Ancillary Services -EKG/ECG,0730-0731,,,# of tests,0,0,0.00
Allegan,Inpatient Hospital Ancillary Services - EEG,740,,,# of tests,0,0,0.00
Allegan,Crisis Observation Care,762,,,Hour,0,0,0.00
Allegan,Additional Codes-ECT Facility Charge,901,,,Encounter,0,0,0.00
Allegan,Inpatient Hospital Ancillary Services - Psychiatric/Psychological Treatments/Services,"0900, 0902-0904, 0911, 0914-0919",,,# of visits,0,0,0.00
Allegan,Outpatient Partial Hospitalization,912,,,Day,6,35,13545.00
Allegan,Outpatient Partial Hospitalization,913,,,Day,0,0,0.00
Allegan,Inpatient Hospital Ancillary Services - Other Diagnosis Services,925,,,# of tests,0,0,0.00
Allegan,Inpatient Hospital Ancillary Services - Other Therapeutic Services,0940-0942,,,# of visits,0,0,0.00
Allegan,Additional Codes-ECT Anesthesia,,104,,Minutes,0,0,0.00
Allegan,Additional Codes-ECT Anesthesia,901,104,,Minutes,0,0,0.00
Allegan,Drug Screen for Methadone Clients Only,,80100,,Per Screen,0,0,0.00
Allegan,Drug Screen for Methadone Clients Only,,80101,,Per Screen,0,0,0.00
Allegan,Drug Screen for Methadone Clients Only,,80300,,per date of service,0,0,0.00
Allegan,Drug Screen for Methadone Clients Only,,80301,,per date of service,0,0,0.00
Allegan,Drug Screen for Methadone Clients Only,,80302,,each procedure,0,0,0.00
Allegan,Drug Screen for Methadone Clients Only,,80303,,per date of service,0,0,0.00
Allegan,Drug Screen for Methadone Clients Only,,80304,,each procedure,0,0,0.00
Allegan,Interactive Complexity - Add On Code,,90785,,,0,0,0.00
Allegan,Interactive Complexity - Add On Code - SUD,,90785,HF,,0,0,0.00
Allegan,Assessment,,90791,,Encounter,146,146,54020.00
Allegan,Assessment,,90792,,Encounter,123,123,45510.00
Allegan,Mental Health: Outpatient Care,,90832,,30 Minutes,177,475,72200.00
Allegan,Substance abuse: Outpatient Care,"0900, 0906, 0914, 0915, 0916, 0919",90832,HF,30 Minutes,0,0,0.00
Allegan,Assessment,,90833,,30 Minutes,0,0,0.00
Allegan,Mental Health: Outpatient Care,,90834,,45 Minutes,314,1766,411478.00
Allegan,Substance abuse: Outpatient Care,"0900, 0906, 0914, 0915, 0916, 0919",90834,HF,45 Minutes,0,0,0.00
Allegan,Assessment,,90836,,45 Minutes,0,0,0.00
Allegan,Mental Health: Outpatient Care,,90837,,60 Minutes,276,1751,615985.00
Allegan,Substance abuse: Outpatient Care,,90837,HF,60 Minutes,0,0,0.00
Allegan,Assessment,,90838,,60 Minutes,0,0,0.00
Allegan,Psychotherapy for Crisis First 60 Minutes,,90839,,First 30-74 Min.,6,6,2118.00
Allegan,Psychotherapy for Crisis Each Additional 30 Minutes,,90840,,Each Additional 30 Minutes,0,0,0.00
Allegan,Therapy-Family Therapy,,90846,,Encounter,0,0,0.00
Allegan,Substance Abuse: Outpatient Treatment,"0900, 0906, 0914, 0915, 0916, 0919",90846,HF,Encounter,0,0,0.00
Allegan,Therapy-Family Therapy,,90847,,Encounter,1,4,1648.00
Allegan,Substance Abuse: Outpatient Treatment,"0900, 0906, 0914, 0915, 0916, 0919",90847,,Encounter,0,0,0.00
Allegan,Therapy-Family Therapy,,90849,,Encounter,0,0,0.00
Allegan,Therapy-Family Therapy,,90849,HS,Encounter,0,0,0.00
Allegan,Substance Abuse: Outpatient Treatment,"0900, 0906, 0914, 0915, 0916, 0919",90849,HF,Encounter,0,0,0.00
Allegan,Therapy-Group Therapy,,90853,,Encounter,17,226,87914.00
Allegan,Substance Abuse: Outpatient Treatment,"0900, 0906, 0914, 0915, 0916, 0919",90853,HF,Encounter,0,0,0.00
Allegan,Additional Codes-ECT Physician,,90870,,Encounter,1,15,2280.00
Allegan,Additional Codes-ECT Physician,901,90870,,Encounter,0,0,0.00
Allegan,Assessments-Other,,90887,,Encounter,0,0,0.00
Allegan,Speech & Language Therapy,,92507,,Encounter,0,0,0.00
Allegan,Speech & Language Therapy,,92508,,Encounter,0,0,0.00
Allegan,Speech & Language Therapy,,92521,,Encounter,0,0,0.00
Allegan,Speech & Language Therapy,,92522,,Encounter,0,0,0.00
Allegan,Speech & Language Therapy,,92523,,Encounter,0,0,0.00
Allegan,Speech & Language Therapy,,92524,,Encounter,0,0,0.00
Allegan,Speech & Language Therapy,,92526,,Encounter,0,0,0.00
Allegan,Speech & Language Therapy,,92610,,Encounter,0,0,0.00
Allegan,Psychological Testing PSYCH/PHYS,,96101,,Per Hour,4,5,795.00
Allegan,Psychological Testing by Technician,,96102,,Per Hour,0,0,0.00
Allegan,Psychological Testing by Comp,,96103,,Per Hour,0,0,0.00
Allegan,Assessments-Other,,96105,,Encounter,0,0,0.00
Allegan,Assessments-Other,,96110,,Encounter,0,0,0.00
Allegan,Assessments-Other,,96111,,Encounter,0,0,0.00
Allegan,Neurobehavioral Status Exam,,96116,,Per Hour,0,0,0.00
Allegan,Neuropsych test by Psych/Phys,,96118,,Per Hour,0,0,0.00
Allegan,Neuropsych test by Tech,,96119,,Per Hour,0,0,0.00
Allegan,Neuropsych test Admin w/Comp,,96120,,Per Hour,0,0,0.00
Allegan,Assessments-Other,,96127,,,0,0,0.00
Allegan,Medication Administration,,96372,,Encounter,45,622,16172.00
Allegan,Physical Therapy,,97001,,Encounter,0,0,0.00
Allegan,Physical Therapy,,97002,,Encounter,0,0,0.00
Allegan,Occupational Therapy,,97003,,Encounter,0,0,0.00
Allegan,Occupational Therapy,,97004,,Encounter,1,1,120.00
Allegan,Occupational or Physical Therapy,,97110,,15 Minutes,1,5,200.00
Allegan,Occupational or Physical Therapy,,97112,,15 Minutes,0,0,0.00
Allegan,Occupational or Physical Therapy,,97113,,15 Minutes,0,0,0.00
Allegan,Occupational or Physical Therapy,,97116,,15 Minutes,0,0,0.00
Allegan,Occupational or Physical Therapy,,97124,,15 Minutes,0,0,0.00
Allegan,Occupational or Physical Therapy,,97140,,15 Minutes,0,0,0.00
Allegan,Occupational or Physical Therapy,,97150,,Encounter,0,0,0.00
Allegan,Occupational or Physical Therapy,,97530,,15 Minutes,1,2,78.00
Allegan,Occupational or Physical Therapy,,97532,,15 Minutes,0,0,0.00
Allegan,Occupational or Physical Therapy,,97533,,15 Minutes,0,0,0.00
Allegan,Occupational or Physical Therapy,,97535,,15 Minutes,0,0,0.00
Allegan,Occupational or Physical Therapy,,97537,,15 Minutes,0,0,0.00
Allegan,Occupational or Physical Therapy,,97542,,15 Minutes,0,0,0.00
Allegan,Occupational or Physical Therapy,,97750,,15 Minutes,0,0,0.00
Allegan,Occupational Therapy,,97755,,15 Minutes,0,0,0.00
Allegan,Occupational or Physical Therapy,,97760,,15 Minutes,0,0,0.00
Allegan,C/O for Orthotic/Prosth Use  or Physical Therapy,,97762,,15 minutes,0,0,0.00
Allegan,Assessment or Health Services,,97802,,15 Minutes,0,0,0.00
Allegan,Assessment or Health Services,,97803,,15 Minutes,0,0,0.00
Allegan,Health Services,,97804,,30 Minutes,0,0,0.00
Allegan,Substance Abuse: Acupuncture,,97810,,Encounter,0,0,0.00
Allegan,Substance Abuse: Acupuncture,,97811,,Encounter,0,0,0.00
Allegan,New Patient Evaluation and Management,,99201,,Encounter,0,0,0.00
Allegan,Substance Abuse: New Patient Evaluation and Management,,99201,HF,Encounter,0,0,0.00
Allegan,New Patient Evaluation and Management,,99202,,Encounter,0,0,0.00
Allegan,Substance Abuse: New Patient Evaluation and Management,,99202,HF,Encounter,0,0,0.00
Allegan,New Patient Evaluation and Management,,99203,,Encounter,0,0,0.00
Allegan,Substance Abuse: New Patient Evaluation and Management,,99203,HF,Encounter,0,0,0.00
Allegan,New Patient Evaluation and Management,,99204,,Encounter,1,1,247.00
