CMH Name,FirstOfService Description,FirstOfRevenue Code,FirstOfHCPCS Code,FirstOfModifier,FirstOfUnit type,SumOfMIA-Cases,SumOfMIA-Units,SumOfMIA-Cost,SumOfOther Cost,FirstOfMIA Unique Consumers
Allegan,Local Psychiatric Hospital/IMD PT68 Bundled per diem,100,,PT68,Day,32,388,286014.05,555968.12,956
Allegan,Local Psychiatric Hospital/IMD PT68 Bundled per diem,100,,PT68,Day,12,225,14784.78,20190.32,956
Allegan,Local Psychiatric Hospital/IMD PT68 Physician costs excluded,"0114, 0124, 0134, 0154",,PT68,Day,0,0,0,0,956
Allegan,Local Psychiatric Hospital/IMD PT68 Physician costs excluded,"0114, 0124, 0134, 0154",,PT68,Day,0,0,0,0,956
Allegan,Local Psychiatric Hospital - Acute Community PT73 Bundled per diem,100,,PT73,Day,97,859,740741.97,892498.59,956
Allegan,Local Psychiatric Hospital - Acute Community PT73 Bundled per diem,100,,PT73,Day,12,92,21859,21859,956
Allegan,Local Psychiatric Hospital - Acute Community PT73 Physician costs excluded,"0114, 0124, 0134, 0154",,PT73,Day,24,234,172078.37,225908.37,956
Allegan,Local Psychiatric Hospital - Acute Community PT73 Physician costs excluded,"0114, 0124, 0134, 0154",,PT73,Day,9,86,4549.26,13008.26,956
Allegan,Cost Estimates of Current Year IBNR/Accrual Local Psychiatric Hospital/IMD,,,PT68,Amount,0,0,0,0,956
Allegan,Cost Estimates of Current Year IBNR/Accrual Local Psychiatric Hospital/Acute Community,,,PT73,Amount,0,0,9228,9228,956
Allegan,Inpatient Hospital Ancillary Services - Room and Board,144,,,Day,0,0,0,0,956
Allegan,Inpatient Hospital Ancillary Services - Leave of Absence,183,,,Day,0,0,0,0,956
Allegan,Inpatient Hospital Ancillary Services - Pharmacy,"0250-0254, 0257-0258 ",,,,0,0,0,0,956
Allegan,Inpatient Hospital Ancillary Services - Medical/Surgical Supplies and Devices,0270-0272,,,# of items,0,0,0,0,956
Allegan,Inpatient Hospital Ancillary Services - Laboratory,"0300-0302, 0305-0307",,,# of tests,0,0,0,0,956
Allegan,Inpatient Hospital Ancillary Services - Radiology,320,,,# of tests,0,0,0,0,956
Allegan,ECT Anesthesia,370,,,,0,0,0,0,956
Allegan,Inpatient Hospital Ancillary Services - Respiratory Services,410,,,# of treatments,0,0,0,0,956
Allegan,Inpatient Hospital Ancillary Services -Physical Therapy,0420-0424,,,# of treatments,0,0,0,0,956
Allegan,Inpatient Hospital Ancillary Services - Occupational Therapy,0430-0434,,,# of treatments,0,0,0,0,956
Allegan,Inpatient Hospital Ancillary Services - Speech-Language Pathology,0440-0444,,,# of treatments,0,0,0,0,956
Allegan,Inpatient Hospital Ancillary Services - Emergency Room,450,,,# of visits,0,0,0,0,956
Allegan,Inpatient Hospital Ancillary Services - Pulmonary Function,460,,,# of tests,0,0,0,0,956
Allegan,Inpatient Hospital Ancillary Services - Audiology,0470-0472,,,# of tests,0,0,0,0,956
Allegan,Inpatient Hospital Ancillary Services - Magnetic Resonance Technology (MRT),0610-0611,,,# of tests,0,0,0,0,956
Allegan,Inpatient Hospital Ancillary Services - Pharmacy,636,,,# of units,0,0,0,0,956
Allegan,ECT Recovery Room,710,,,,0,0,0,0,956
Allegan,Inpatient Hospital Ancillary Services -EKG/ECG,0730-0731,,,# of tests,0,0,0,0,956
Allegan,Inpatient Hospital Ancillary Services - EEG,740,,,# of tests,0,0,0,0,956
Allegan,Crisis Observation Care,762,,,Hour,0,0,0,0,956
Allegan,Additional Codes-ECT Facility Charge,901,,,Encounter,0,0,0,0,956
Allegan,Inpatient Hospital Ancillary Services - Psychiatric/Psychological Treatments/Services,"0900, 0902-0904, 0911, 0914-0919",,,# of visits,0,0,0,42,956
Allegan,Outpatient Partial Hospitalization,912,,,Day,10,59,17256.27,42067.77,956
Allegan,Outpatient Partial Hospitalization,913,,,Day,0,0,0,0,956
Allegan,Inpatient Hospital Ancillary Services - Other Diagnosis Services,925,,,# of tests,0,0,0,0,956
Allegan,Inpatient Hospital Ancillary Services - Other Therapeutic Services,0940-0942,,,# of visits,0,0,0,0,956
Allegan,Additional Codes-ECT Anesthesia,,104,,Minutes,0,0,0,0,956
Allegan,Additional Codes-ECT Anesthesia,901,104,,Minutes,0,0,0,0,956
Allegan,Drug Screen for Methadone Clients Only,,80300,,per date of service,0,0,0,0,956
Allegan,Drug Screen for Methadone Clients Only,,80301,,per date of service,0,0,0,0,956
Allegan,Drug Screen for Methadone Clients Only,,80302,,each procedure,0,0,0,0,956
Allegan,Drug Screen for Methadone Clients Only,,80303,,per date of service ,0,0,0,0,956
Allegan,Drug Screen for Methadone Clients Only,,80304,,each procedure,0,0,0,0,956
Allegan,Interactive Complexity - Add On Code,,90785,,,0,0,0,0,956
Allegan,Interactive Complexity - Add On Code - SUD,,90785,HF,,0,0,0,0,956
Allegan,Assessment,,"90791
",,Encounter,214,218,183482,416622,956
Allegan,Assessment,,90792,,Encounter,134,134,112782,182640,956
Allegan,Mental Health: Outpatient Care,,90832,,30 Minutes,136,437,48944,85120,956
Allegan,Substance abuse: Outpatient Care,"0900, 0906, 0914, 0915, 0916, 0919",90832,HF,30 Minutes,0,0,0,0,956
Allegan,Assessment,,90833,,30 Minutes,0,0,0,0,956
Allegan,Mental Health: Outpatient Care,,90834,,45 Minutes,244,1552,262465,325206,956
Allegan,Substance abuse: Outpatient Care,"0900, 0906, 0914, 0915, 0916, 0919",90834,HF,45 Minutes,0,0,0,0,956
Allegan,Assessment,,90836,,45 Minutes,0,0,0,0,956
Allegan,Mental Health: Outpatient Care,,90837,,60 Minutes,223,1348,317571,425941,956
Allegan,Substance abuse: Outpatient Care,,90837,HF,60 Minutes,0,0,0,0,956
Allegan,Assessment,,90838,,60 Minutes,0,0,0,0,956
Allegan,Psychotherapy for Crisis First 60 Minutes,,90839,,First 30-74 Min.,14,25,4325,5017,956
Allegan,Psychotherapy for Crisis Each Additional 30 Minutes,,90840,,Each Additional 30 Minutes,0,0,0,0,956
Allegan,Therapy-Family Therapy,,90846,,Encounter,0,0,0,17616,956
Allegan,Substance Abuse: Outpatient Treatment,"0900, 0906, 0914, 0915, 0916, 0919",90846,HF,Encounter,0,0,0,0,956
Allegan,Therapy-Family Therapy,,90847,,Encounter,0,0,0,77211,956
Allegan,Substance Abuse: Outpatient Treatment,"0900, 0906, 0914, 0915, 0916, 0919",90847,,Encounter,0,0,0,0,956
Allegan,Therapy-Family Therapy,,90849,,Encounter,0,0,0,0,956
Allegan,Therapy-Family Therapy,,90849,HS,Encounter,0,0,0,0,956
Allegan,Substance Abuse: Outpatient Treatment,"0900, 0906, 0914, 0915, 0916, 0919",90849,HF,Encounter,0,0,0,0,956
Allegan,Therapy-Group Therapy,,90853,,Encounter,33,378,116802,159753,956
