CMH Name,FirstOfService Description,FirstOfRevenue Code,FirstOfHCPCS Code,FirstOfModifier,FirstOfUnit type,SumOfMIA-Cases,SumOfMIA-Units,SumOfMIA-Cost,SumOfOther Cost,FirstOfMIA Totals,FirstOfMIA Unique Consumers
Allegan,"Local Psychiatric Hospital/IMD PT68 
bundled per diem",100,,PT68,Day,32,289,230404.35,521928.33,7846395.15,954
Allegan,"Local Psychiatric Hospital/IMD PT68
bundled per diem",100,,PT68,Day,10,153,26833.47,38290.22,7846395.15,954
Allegan,"Local Psychiatric Hospital/IMD PT68
physician costs excluded","0114, 0124, 0134, 0154",,PT68,Day,0,0,0,0,7846395.15,954
Allegan,"Local Psychiatric Hospital/IMD PT68
physician costs excluded","0114, 0124, 0134, 0154",,PT68,Day,0,0,0,0,7846395.15,954
Allegan,"Local Psychiatric Hospital - Acute Community PT73
bundled per diem",100,,PT73,Day,115,1009,863516.57,878081.14,7846395.15,954
Allegan,"Local Psychiatric Hospital - Acute Community PT73
bundled per diem",100,,PT73,Day,10,118,19532.23,20848.23,7846395.15,954
Allegan,"Local Psychiatric Hospital - Acute Community PT73
physician costs excluded","0114, 0124, 0134, 0154",,PT73,Day,36,212,159318.95,238502.95,7846395.15,954
Allegan,"Local Psychiatric Hospital - Acute Community PT73
physician costs excluded","0114, 0124, 0134, 0154",,PT73,Day,5,17,5552.98,5552.98,7846395.15,954
Allegan,Local Psychiatric Hospital/IMD,,,PT68,Amount,0,0,0,0,7846395.15,954
Allegan,Local Psychiatric Hospital/Acute Community,,,PT73,Amount,0,0,0,0,7846395.15,954
Allegan,Inpatient Hospital Ancillary Services - Room and Board,144,,,Day,0,0,0,0,7846395.15,954
Allegan,Inpatient Hospital Ancillary Services - Leave of Absence,183,,,Day,0,0,0,0,7846395.15,954
Allegan,Inpatient Hospital Ancillary Services - Pharmacy,"0250-0254, 0257-0258 ",,,,0,0,0,0,7846395.15,954
Allegan,Inpatient Hospital Ancillary Services - Medical/Surgical Supplies and Devices,0270-0272,,,# of items,0,0,0,0,7846395.15,954
Allegan,Inpatient Hospital Ancillary Services - Laboratory,"0300-0302, 0305-0307",,,# of tests,0,0,0,0,7846395.15,954
Allegan,Inpatient Hospital Ancillary Services - Radiology,320,,,# of tests,0,0,0,0,7846395.15,954
Allegan,ECT Anesthesia,370,,,,0,0,0,0,7846395.15,954
Allegan,Inpatient Hospital Ancillary Services - Respiratory Services,410,,,# of treatments,0,0,0,0,7846395.15,954
Allegan,Inpatient Hospital Ancillary Services -Physical Therapy,0420-0424,,,# of treatments,0,0,0,0,7846395.15,954
Allegan,Inpatient Hospital Ancillary Services - Occupational Therapy,0430-0434,,,# of treatments,0,0,0,0,7846395.15,954
Allegan,Inpatient Hospital Ancillary Services - Speech-Language Pathology,0440-0444,,,# of treatments,0,0,0,0,7846395.15,954
Allegan,Inpatient Hospital Ancillary Services - Emergency Room,450,,,# of visits,0,0,0,0,7846395.15,954
Allegan,Inpatient Hospital Ancillary Services - Pulmonary Function,460,,,# of tests,0,0,0,0,7846395.15,954
Allegan,Inpatient Hospital Ancillary Services - Audiology,0470-0472,,,# of tests,0,0,0,0,7846395.15,954
Allegan,Inpatient Hospital Ancillary Services - Magnetic Resonance Technology (MRT),0610-0611,,,# of tests,0,0,0,0,7846395.15,954
Allegan,Inpatient Hospital Ancillary Services - Pharmacy,636,,,# of units,0,0,0,0,7846395.15,954
Allegan,ECT Recovery Room,710,,,,0,0,0,0,7846395.15,954
Allegan,Inpatient Hospital Ancillary Services -EKG/ECG,0730-0731,,,# of tests,0,0,0,0,7846395.15,954
