"CMH Name","MIA Group Num","MIA Serv Num","FirstOfService Description","FirstOfRevenue Code","FirstOfModifier","FirstOfHCPCS Code","FirstOfUnit type","SumOfMIA-Cases","SumOfMIA-Units","SumOfMIA-Cost","SumOfOther Cost","FirstOfMIA Totals","FirstOfMIA Unique Consumers"
"Allegan",3,3,"Local Psychiatric Hospital/IMD PT68 
bundled per diem","0100","PT68",,"Day",76.00,933.00,750896.00,904562.00,7115501.00,880.00
"Allegan",4,4,"Local Psychiatric Hospital/IMD PT68
bundled per diem","0100","PT68",,"Day",13.00,133.00,16949.00,26153.00,7115501.00,880.00
"Allegan",5,5,"Local Psychiatric Hospital/IMD PT68
physician costs excluded","0114, 0124, 0134, 0154","PT68",,"Day",0.00,0.00,0.00,6384.00,7115501.00,880.00
"Allegan",6,6,"Local Psychiatric Hospital/IMD PT68
physician costs excluded","0114, 0124, 0134, 0154","PT68",,"Day",0.00,0.00,0.00,0.00,7115501.00,880.00
"Allegan",7,7,"Local Psychiatric Hospital - Acute Community PT73
bundled per diem","0100","PT73",,"Day",45.00,427.00,347003.00,347003.00,7115501.00,880.00
"Allegan",8,8,"Local Psychiatric Hospital - Acute Community PT73
bundled per diem","0100","PT73",,"Day",3.00,33.00,11143.00,11143.00,7115501.00,880.00
"Allegan",9,9,"Local Psychiatric Hospital - Acute Community PT73
physician costs excluded","0114, 0124, 0134, 0154","PT73",,"Day",29.00,237.00,176521.00,203543.00,7115501.00,880.00
"Allegan",10,10,"Local Psychiatric Hospital - Acute Community PT73
physician costs excluded","0114, 0124, 0134, 0154","PT73",,"Day",4.00,17.00,2191.00,2377.00,7115501.00,880.00
"Allegan",12,12,"Local Psychiatric Hospital/IMD",,"PT68",,"Amount",0.00,0.00,22550.00,40601.00,7115501.00,880.00
"Allegan",13,13,"Local Psychiatric Hospital/Acute Community",,"PT73",,"Amount",0.00,0.00,27880.00,31776.00,7115501.00,880.00
"Allegan",16,16,"Inpatient Hospital Ancillary Services - Room and Board","0144",,,"Day",0.00,0.00,0.00,0.00,7115501.00,880.00
"Allegan",17,17,"Inpatient Hospital Ancillary Services - Leave of Absence","0183",,,"Day",0.00,0.00,0.00,0.00,7115501.00,880.00
"Allegan",18,18,"Inpatient Hospital Ancillary Services - Pharmacy","0250-0254, 0257-0258 ",,,,0.00,0.00,0.00,0.00,7115501.00,880.00
"Allegan",19,19,"Inpatient Hospital Ancillary Services - Medical/Surgical Supplies and Devices","0270-0272",,,"# of items",0.00,0.00,0.00,0.00,7115501.00,880.00
"Allegan",20,20,"Inpatient Hospital Ancillary Services - Laboratory","0300-0302, 0305-0307",,,"# of tests",0.00,0.00,0.00,0.00,7115501.00,880.00
"Allegan",21,21,"Inpatient Hospital Ancillary Services - Radiology","0320",,,"# of tests",0.00,0.00,0.00,0.00,7115501.00,880.00
"Allegan",22,22,"ECT Anesthesia","0370",,,,0.00,0.00,0.00,0.00,7115501.00,880.00
"Allegan",23,23,"Inpatient Hospital Ancillary Services - Respiratory Services","0410",,,"# of treatments",0.00,0.00,0.00,0.00,7115501.00,880.00
"Allegan",24,24,"Inpatient Hospital Ancillary Services -Physical Therapy","0420-0424",,,"# of treatments",0.00,0.00,0.00,0.00,7115501.00,880.00
"Allegan",25,25,"Inpatient Hospital Ancillary Services - Occupational Therapy","0430-0434",,,"# of treatments",0.00,0.00,0.00,0.00,7115501.00,880.00
