CMH Name,FirstOfService description,FirstOfRevenue Code,FirstOfHCPCS Code,FirstOfModifier,FirstOfUnit type,SumOfMIC-Cases,SumOfMIC-Units,SumOfMIC-Cost,SumOfMIC-Cost
Allegan,State Psychiatric Hospital - Inpatient PT22,"0100, 0101, 0114, 0124, 0134, 0154",,PT22,Day,1,44,14167,14167.18
Allegan,State Mental Retardation Facility - Inpatient (ICF/MR) PT65,100,,PT65,Day,0,0,0,0
Allegan,Local Psychiatric Hospital/IMD PT68,"0100, 0101, 0114, 0124, 0134, 0154",,PT68,Day,19,167,51565,51564.59
Allegan,Local Psychiatric Hospital - Acute Community PT73,"0100, 0101, 0114, 0124, 0134, 0154",,PT73,Day,15,192,129093,129093.12
Allegan,Inpatient Hospital Ancillary Services - Room and Board,144,,,Day,0,0,0,0
Allegan,Inpatient Hospital Ancillary Services - Leave of Absence,183,,,Day,0,0,0,0
Allegan,Inpatient Hospital Ancillary Services - Pharmacy,"0250-0254, 0257-0258",,,,0,0,0,0
Allegan,Inpatient Hospital Ancillary Services - Medical/Surgical Supplies and Devices,0270-0272,,,# of items,0,0,0,0
Allegan,Inpatient Hospital Ancillary Services - Laboratory,"0300-0302, 0305-0307",,,# of tests,0,0,0,0
Allegan,Inpatient Hospital Ancillary Services - Radiology,320,,,# of tests,0,0,0,0
Allegan,ECT Anesthesia,370,,,,0,0,0,0
Allegan,Inpatient Hospital Ancillary Services - Respiratory Services,410,,,# of treatments,0,0,0,0
Allegan,Inpatient Hospital Ancillary Services -Physical Therapy,0420-0424,,,# of treatments,0,0,0,0
Allegan,Inpatient Hospital Ancillary Services - Occupational Therapy,0430-0434,,,# of treatments,0,0,0,0
Allegan,Inpatient Hospital Ancillary Services - Speech-Language Pathology,0440-0444,,,# of treatments,0,0,0,0
Allegan,Inpatient Hospital Ancillary Services - Emergency Room,450,,,# of visits,0,0,0,0
Allegan,Inpatient Hospital Ancillary Services - Pulmonary Function,460,,,# of tests,0,0,0,0
Allegan,Inpatient Hospital Ancillary Services - Audiology,0470-0472,,,# of tests,0,0,0,0
Allegan,Inpatient Hospital Ancillary Services - Magnetic Resonance Technology (MRT),0610-0611,,,# of tests,0,0,0,0
Allegan,Inpatient Hospital Ancillary Services - Pharmacy,636,,,# of units,0,0,0,0
Allegan,ECT Recovery Room,710,,,,0,0,0,0
Allegan,Inpatient Hospital Ancillary Services -EKG/ECG,0730-0731,,,# of tests,0,0,0,0
Allegan,Inpatient Hospital Ancillary Services - EEG,740,,,# of tests,0,0,0,0
Allegan,Crisis Observation Care,762,,,Hour,0,0,0,0
Allegan,Additional Codes-ECT Facility Charge,901,,,Encounter,0,0,0,0
Allegan,Inpatient Hospital Ancillary Services - Psychiatric/Psychological Treatments/Services,"0900, 0902-0904, 0911, 0914-0919",,,# of visits,0,0,0,0
Allegan,Outpatient Partial Hospitalization,912,,,Day,11,49,18963,18963
Allegan,Outpatient Partial Hospitalization,913,,,Day,0,0,0,0
Allegan,Inpatient Hospital Ancillary Services - Other Diagnosis Services,925,,,# of tests,0,0,0,0
Allegan,Inpatient Hospital Ancillary Services - Other Therapeutic Services,0940-0942,,,# of visits,0,0,0,0
Allegan,Additional Codes-ECT Anesthesia,,104,,Minutes,0,0,0,0
Allegan,Additional Codes-ECT Anesthesia,901,104,,Minutes,0,0,0,0
Allegan,Drug Screen for Methadone Clients Only,,80100,,Per Screen,0,0,0,0
Allegan,Drug Screen for Methadone Clients Only,,80101,,Per Screen,0,0,0,0
