"CMH Name","MIC Group Num","MIC Serv Num","FirstOfMIC Totals","FirstOfService description","FirstOfRevenue Code","FirstOfModifier","FirstOfHCPCS Code","FirstOfUnit type","SumOfMIC-Cases","SumOfMIC-Units","SumOfMIC-Cost","SumOfOther Cost","FirstOfMIC Unique Consumers"
"Allegan",3,3,2723319.14,"Local Psychiatric Hospital/IMD PT68 Bundled per diem","0100","PT68",,"Day",22.00,268.00,225992.07,555968.12,445.00
"Allegan",4,4,2723319.14,"Local Psychiatric Hospital/IMD PT68 Bundled per diem","0100","PT68",,"Day",6.00,42.00,4461.54,20190.32,445.00
"Allegan",5,5,2723319.14,"Local Psychiatric Hospital/IMD PT68 Physician costs excluded","0114, 0124, 0134, 0154","PT68",,"Day",0.00,0.00,0.00,0.00,445.00
"Allegan",6,6,2723319.14,"Local Psychiatric Hospital/IMD PT68 Physician costs excluded","0114, 0124, 0134, 0154","PT68",,"Day",0.00,0.00,0.00,0.00,445.00
"Allegan",7,7,2723319.14,"Local Psychiatric Hospital - Acute Community PT73 Bundled per diem","0100","PT73",,"Day",17.00,191.00,151756.62,892498.59,445.00
"Allegan",8,8,2723319.14,"Local Psychiatric Hospital - Acute Community PT73 Bundled per diem","0100","PT73",,"Day",0.00,0.00,0.00,21859.00,445.00
"Allegan",9,9,2723319.14,"Local Psychiatric Hospital - Acute Community PT73 Physician costs excluded","0114, 0124, 0134, 0154","PT73",,"Day",10.00,48.00,36912.00,225908.37,445.00
"Allegan",10,10,2723319.14,"Local Psychiatric Hospital - Acute Community PT73 Physician costs excluded","0114, 0124, 0134, 0154","PT73",,"Day",1.00,11.00,8459.00,13008.26,445.00
"Allegan",12,12,2723319.14,"Cost Estimates of Current Year IBNR/Accrual Local Psychiatric Hospital/IMD",,"PT68",,"Amount",0.00,0.00,0.00,0.00,445.00
"Allegan",13,13,2723319.14,"Cost Estimates of Current Year IBNR/Accrual Local Psychiatric Hospital/Acute Community",,"PT73",,"Amount",0.00,0.00,0.00,9228.00,445.00
"Allegan",16,16,2723319.14,"Inpatient Hospital Ancillary Services - Room and Board","0144",,,"Day",0.00,0.00,0.00,0.00,445.00
"Allegan",17,17,2723319.14,"Inpatient Hospital Ancillary Services - Leave of Absence","0183",,,"Day",0.00,0.00,0.00,0.00,445.00
"Allegan",18,18,2723319.14,"Inpatient Hospital Ancillary Services - Pharmacy","0250-0254, 0257-0258 ",,,,0.00,0.00,0.00,0.00,445.00
"Allegan",19,19,2723319.14,"Inpatient Hospital Ancillary Services - Medical/Surgical Supplies and Devices","0270-0272",,,"# of items",0.00,0.00,0.00,0.00,445.00
"Allegan",20,20,2723319.14,"Inpatient Hospital Ancillary Services - Laboratory","0300-0302, 0305-0307",,,"# of tests",0.00,0.00,0.00,0.00,445.00
"Allegan",21,21,2723319.14,"Inpatient Hospital Ancillary Services - Radiology","0320",,,"# of tests",0.00,0.00,0.00,0.00,445.00
"Allegan",22,22,2723319.14,"ECT Anesthesia","0370",,,,0.00,0.00,0.00,0.00,445.00
"Allegan",23,23,2723319.14,"Inpatient Hospital Ancillary Services - Respiratory Services","0410",,,"# of treatments",0.00,0.00,0.00,0.00,445.00
"Allegan",24,24,2723319.14,"Inpatient Hospital Ancillary Services -Physical Therapy","0420-0424",,,"# of treatments",0.00,0.00,0.00,0.00,445.00
"Allegan",25,25,2723319.14,"Inpatient Hospital Ancillary Services - Occupational Therapy","0430-0434",,,"# of treatments",0.00,0.00,0.00,0.00,445.00
"Allegan",26,26,2723319.14,"Inpatient Hospital Ancillary Services - Speech-Language Pathology","0440-0444",,,"# of treatments",0.00,0.00,0.00,0.00,445.00
"Allegan",27,27,2723319.14,"Inpatient Hospital Ancillary Services - Emergency Room","0450",,,"# of visits",0.00,0.00,0.00,0.00,445.00
"Allegan",28,28,2723319.14,"Inpatient Hospital Ancillary Services - Pulmonary Function","0460",,,"# of tests",0.00,0.00,0.00,0.00,445.00
"Allegan",29,29,2723319.14,"Inpatient Hospital Ancillary Services - Audiology","0470-0472",,,"# of tests",0.00,0.00,0.00,0.00,445.00
"Allegan",30,30,2723319.14,"Inpatient Hospital Ancillary Services - Magnetic Resonance Technology (MRT)","0610-0611",,,"# of tests",0.00,0.00,0.00,0.00,445.00
"Allegan",31,31,2723319.14,"Inpatient Hospital Ancillary Services - Pharmacy","0636",,,"# of units",0.00,0.00,0.00,0.00,445.00
"Allegan",32,32,2723319.14,"ECT Recovery Room","0710",,,,0.00,0.00,0.00,0.00,445.00
"Allegan",33,33,2723319.14,"Inpatient Hospital Ancillary Services -EKG/ECG","0730-0731",,,"# of tests",0.00,0.00,0.00,0.00,445.00
"Allegan",34,34,2723319.14,"Inpatient Hospital Ancillary Services - EEG","0740",,,"# of tests",0.00,0.00,0.00,0.00,445.00
"Allegan",35,35,2723319.14,"Crisis Observation Care","0762",,,"Hour",0.00,0.00,0.00,0.00,445.00
"Allegan",36,36,2723319.14,"Additional Codes-ECT Facility Charge","0901",,,"Encounter",0.00,0.00,0.00,0.00,445.00
"Allegan",37,37,2723319.14,"Inpatient Hospital Ancillary Services - Psychiatric/Psychological Treatments/Services","0900, 0902-0904, 0911, 0914-0919",,,"# of visits",0.00,0.00,0.00,42.00,445.00
"Allegan",38,38,2723319.14,"Outpatient Partial Hospitalization","0912",,,"Day",12.00,63.00,24811.50,42067.77,445.00
"Allegan",39,39,2723319.14,"Outpatient Partial Hospitalization","0913",,,"Day",0.00,0.00,0.00,0.00,445.00
"Allegan",40,40,2723319.14,"Inpatient Hospital Ancillary Services - Other Diagnosis Services","0925",,,"# of tests",0.00,0.00,0.00,0.00,445.00
"Allegan",41,41,2723319.14,"Inpatient Hospital Ancillary Services - Other Therapeutic Services","0940-0942",,,"# of visits",0.00,0.00,0.00,0.00,445.00
"Allegan",42,42,2723319.14,"Additional Codes-ECT Anesthesia",,,"00104","Minutes",0.00,0.00,0.00,0.00,445.00
"Allegan",43,43,2723319.14,"Additional Codes-ECT Anesthesia","0901",,"00104","Minutes",0.00,0.00,0.00,0.00,445.00
"Allegan",44,44,2723319.14,"Drug Screen for Methadone Clients Only",,,"80300","per date of service",0.00,0.00,0.00,0.00,445.00
"Allegan",45,45,2723319.14,"Drug Screen for Methadone Clients Only",,,"80301","per date of service",0.00,0.00,0.00,0.00,445.00
"Allegan",46,46,2723319.14,"Drug Screen for Methadone Clients Only",,,"80302","each procedure",0.00,0.00,0.00,0.00,445.00
"Allegan",47,47,2723319.14,"Drug Screen for Methadone Clients Only",,,"80303","per date of service ",0.00,0.00,0.00,0.00,445.00
"Allegan",48,48,2723319.14,"Drug Screen for Methadone Clients Only",,,"80304","each procedure",0.00,0.00,0.00,0.00,445.00
"Allegan",49,49,2723319.14,"Interactive Complexity - Add On Code",,,"90785",,0.00,0.00,0.00,0.00,445.00
"Allegan",50,50,2723319.14,"Assessment for Autism",,"U5","90785",,0.00,0.00,0.00,0.00,445.00
"Allegan",51,51,2723319.14,"Interactive Complexity - Add On Code - SUD",,"HF","90785",,0.00,0.00,0.00,0.00,445.00
"Allegan",52,52,2723319.14,"Assessment",,,"90791
","Encounter",251.00,269.00,226407.00,416622.00,445.00
"Allegan",53,53,2723319.14,"Assessment for Autism",,"U5","90791","Encounter",0.00,0.00,0.00,0.00,445.00
"Allegan",54,54,2723319.14,"Assessment",,,"90792","Encounter",65.00,65.00,54708.00,182640.00,445.00
"Allegan",55,55,2723319.14,"Assessment for Autism",,"U5","90792","Encounter",0.00,0.00,0.00,0.00,445.00
"Allegan",56,56,2723319.14,"Mental Health: Outpatient Care",,,"90832","30 Minutes",30.00,74.00,8288.00,85120.00,445.00
"Allegan",57,57,2723319.14,"Substance abuse: Outpatient Care","0900, 0906, 0914, 0915, 0916, 0919","HF","90832","30 Minutes",0.00,0.00,0.00,0.00,445.00
"Allegan",58,58,2723319.14,"Assessment",,,"90833","30 Minutes",0.00,0.00,0.00,0.00,445.00
"Allegan",59,59,2723319.14,"Assessment for Autism",,"U5","90833","30 Minutes",0.00,0.00,0.00,0.00,445.00
"Allegan",60,60,2723319.14,"Mental Health: Outpatient Care",,,"90834","45 Minutes",48.00,151.00,25536.00,325206.00,445.00
"Allegan",61,61,2723319.14,"Substance abuse: Outpatient Care","0900, 0906, 0914, 0915, 0916, 0919","HF","90834","45 Minutes",0.00,0.00,0.00,0.00,445.00
"Allegan",62,62,2723319.14,"Assessment",,,"90836","45 Minutes",0.00,0.00,0.00,0.00,445.00
