CMH Name,FirstOfService description,FirstOfRevenue Code,FirstOfHCPCS Code,FirstOfModifier,FirstOfUnit type,SumOfMIC-Cases,SumOfMIC-Units,SumOfMIC-Cost,SumOfOther Cost,FirstOfMIC Unique Consumers
Allegan,"Local Psychiatric Hospital/IMD PT68 
bundled per diem",100,,PT68,Day,23,202,178683.98,521928.33,316
Allegan,"Local Psychiatric Hospital/IMD PT68
bundled per diem",100,,PT68,Day,5,38,8015.95,38290.22,316
Allegan,"Local Psychiatric Hospital/IMD PT68
physician costs excluded","0114, 0124, 0134, 0154",,PT68,Day,0,0,0,0,316
Allegan,"Local Psychiatric Hospital/IMD PT68
physician costs excluded","0114, 0124, 0134, 0154",,PT68,Day,0,0,0,0,316
Allegan,"Local Psychiatric Hospital - Acute Community PT73
bundled per diem",100,,PT73,Day,0,0,0,878081.14,316
Allegan,"Local Psychiatric Hospital - Acute Community PT73
bundled per diem",100,,PT73,Day,0,0,0,20848.23,316
Allegan,"Local Psychiatric Hospital - Acute Community PT73
physician costs excluded","0114, 0124, 0134, 0154",,PT73,Day,13,63,49392,238502.95,316
Allegan,"Local Psychiatric Hospital - Acute Community PT73
physician costs excluded","0114, 0124, 0134, 0154",,PT73,Day,0,0,0,5552.98,316
Allegan,Local Psychiatric Hospital/IMD,,,PT68,Amount,0,0,0,0,316
Allegan,Local Psychiatric Hospital/Acute Community,,,PT73,Amount,0,0,0,0,316
Allegan,Inpatient Hospital Ancillary Services - Room and Board,144,,,Day,0,0,0,0,316
Allegan,Inpatient Hospital Ancillary Services - Leave of Absence,183,,,Day,0,0,0,0,316
Allegan,Inpatient Hospital Ancillary Services - Pharmacy,"0250-0254, 0257-0258 ",,,,0,0,0,0,316
Allegan,Inpatient Hospital Ancillary Services - Medical/Surgical Supplies and Devices,0270-0272,,,# of items,0,0,0,0,316
Allegan,Inpatient Hospital Ancillary Services - Laboratory,"0300-0302, 0305-0307",,,# of tests,0,0,0,0,316
Allegan,Inpatient Hospital Ancillary Services - Radiology,320,,,# of tests,0,0,0,0,316
Allegan,ECT Anesthesia,370,,,,0,0,0,0,316
Allegan,Inpatient Hospital Ancillary Services - Respiratory Services,410,,,# of treatments,0,0,0,0,316
Allegan,Inpatient Hospital Ancillary Services -Physical Therapy,0420-0424,,,# of treatments,0,0,0,0,316
Allegan,Inpatient Hospital Ancillary Services - Occupational Therapy,0430-0434,,,# of treatments,0,0,0,0,316
Allegan,Inpatient Hospital Ancillary Services - Speech-Language Pathology,0440-0444,,,# of treatments,0,0,0,0,316
Allegan,Inpatient Hospital Ancillary Services - Emergency Room,450,,,# of visits,0,0,0,0,316
Allegan,Inpatient Hospital Ancillary Services - Pulmonary Function,460,,,# of tests,0,0,0,0,316
Allegan,Inpatient Hospital Ancillary Services - Audiology,0470-0472,,,# of tests,0,0,0,0,316
Allegan,Inpatient Hospital Ancillary Services - Magnetic Resonance Technology (MRT),0610-0611,,,# of tests,0,0,0,0,316
Allegan,Inpatient Hospital Ancillary Services - Pharmacy,636,,,# of units,0,0,0,0,316
Allegan,ECT Recovery Room,710,,,,0,0,0,0,316
Allegan,Inpatient Hospital Ancillary Services -EKG/ECG,0730-0731,,,# of tests,0,0,0,0,316
Allegan,Inpatient Hospital Ancillary Services - EEG,740,,,# of tests,0,0,0,0,316
Allegan,Crisis Observation Care,762,,,Hour,0,0,0,0,316
Allegan,Additional Codes-ECT Facility Charge,901,,,Encounter,0,0,0,0,316
Allegan,Inpatient Hospital Ancillary Services - Psychiatric/Psychological Treatments/Services,"0900, 0902-0904, 0911, 0914-0919",,,# of visits,0,0,0,0,316
Allegan,Outpatient Partial Hospitalization,912,,,Day,9,43,15837.95,29900.58,316
Allegan,Outpatient Partial Hospitalization,913,,,Day,0,0,0,0,316
Allegan,Inpatient Hospital Ancillary Services - Other Diagnosis Services,925,,,# of tests,0,0,0,0,316
Allegan,Inpatient Hospital Ancillary Services - Other Therapeutic Services,0940-0942,,,# of visits,0,0,0,0,316
Allegan,Additional Codes-ECT Anesthesia,,104,,Minutes,0,0,0,0,316
Allegan,Additional Codes-ECT Anesthesia,901,104,,Minutes,0,0,0,0,316
Allegan,ABA Behavior Identification Assessment,,0359T,U5,Encounter,8,12,6980.73,58747.57,316
Allegan,ABA Behavioral Follow-up Assessment,,0362T,U5,First 30 Minutes,2,2,150.69,780.29,316
Allegan,ABA Behavioral Follow-up Assessment,,0363T,U5,Each Additional 30 Minutes,1,6,526.35,1470.75,316
Allegan,ABA Adaptive Treatment,,0364T,U5,First 30 Minutes,10,775,25400.3,290788.69,316
Allegan,ABA Adaptive Treatment,,0365T,U5,Each Additional 30 Minutes,10,4339,141878.85,1381340.74,316
Allegan,ABA Group Adaptive Behavior Treatment,,0366T,U5,First 30 Minutes,0,0,0,0,316
Allegan,ABA Group Adaptive Behavior Treatment,,0367T,U5,Each Additional 30 Minutes,0,0,0,0,316
Allegan,ABA Clinical Observation and Direction of Adaptive Behavior Treatment,,0368T,U5,First 30 Minutes,8,212,13723.03,137162.36,316
Allegan,ABA Clinical Observation and Direction of Adaptive Behavior Treatment,,0369T,U5,Each Additional 30 Minutes,8,405,26168.62,251988.98,316
Allegan,ABA Family Behavior Treatment Guidance,,0370T,U5,Encounter,8,86,11935.18,48128.45,316
Allegan,ABA Family Behavior Treatment Guidance,,0371T,U5,Encounter,0,0,0,0,316
Allegan,ABA Adaptive Behavior Treatment Social Skills Group,,0372T,U5,Encounter,0,0,0,0,316
Allegan,ABA Exposure Adaptive Behavior Treatment,,0373T,U5,First 60 Minutes,1,16,1674.74,12400.45,316
Allegan,ABA Exposure Adaptive Behavior Treatment,,0374T,U5,Each Additional 30 Minutes,1,32,1674.91,32445.83,316
Allegan,Drug Screen for Methadone Clients Only - Note: retired 12/31/16,,80300,,per date of service,0,0,0,0,316
Allegan,Drug Screen for Methadone Clients Only - Note: retired 12/31/16,,80301,,per date of service,0,0,0,0,316
Allegan,Drug Screen for Methadone Clients Only - Note: retired 12/31/16,,80302,,each procedure,0,0,0,0,316
Allegan,Drug Screen for Methadone Clients Only - Note: retired 12/31/16,,80303,,per date of service ,0,0,0,0,316
Allegan,Drug Screen for Methadone Clients Only - Note: retired 12/31/16,,80304,,each procedure,0,0,0,0,316
Allegan,Drug Screen,,80305,,Encounter,0,0,0,0,316
Allegan,Drug Screen,,80306,,Encounter,0,0,0,0,316
Allegan,Drug Screen,,80307,,Encounter,0,0,0,0,316
Allegan,Interactive Complexity - Add On Code,,90785,,Encounter,0,0,0,0,316
Allegan,Assessment for Autism,,90785,U5,Encounter,0,0,0,0,316
Allegan,Substance Abuse - Interactive Complexity - Add On Code,,90785,HF,Encounter,0,0,0,0,316
Allegan,Assessment,,"90791
",,Encounter,141,143,47186.62,111422.38,316
Allegan,Substance Use: Assessment,,90791,HF,Encounter,0,0,0,0,316
Allegan,Assessment for Autism,,90791,U5,Encounter,0,0,0,0,316
Allegan,Assessment,,90792,,Encounter,42,42,37267,145173.21,316
Allegan,Substance Use: Assessment,,90792,HF,Encounter,0,0,0,0,316
Allegan,Assessment for Autism,,90792,U5,Encounter,0,0,0,2710.44,316
Allegan,Mental Health: Outpatient Care,,90832,,30 Minutes,33,67,7781.23,69553.28,316
Allegan,Substance Use Disorder: Outpatient Care,"0900, 0906, 0914, 0915, 0916, 0919",90832,HF,30 Minutes,0,0,0,0,316
Allegan,Assessment,,90833,,30 Minutes,0,0,0,0,316
Allegan,Mental Health: Outpatient Care,,90834,,45 Minutes,42,123,21098.15,295473.27,316
Allegan,Substance Use Disorder: Outpatient Care,"0900, 0906, 0914, 0915, 0916, 0919",90834,HF,45 Minutes,0,0,0,0,316
Allegan,Assessment,,90836,,45 Minutes,0,0,0,0,316
Allegan,Mental Health: Outpatient Care,,90837,,60 Minutes,53,310,76491.44,405392.31,316
Allegan,Substance Use Disorder: Outpatient Care,,90837,HF,60 Minutes,0,0,0,0,316
Allegan,Assessment,,90838,,60 Minutes,0,0,0,0,316
Allegan,Psychotherapy for Crisis First 60 Minutes,,90839,,First 30-74 Min.,1,1,181.54,3456.7,316
Allegan,Psychotherapy for Crisis Each Additional 30 Minutes,,90840,,Each Additional 30 Minutes,0,0,0,0,316
Allegan,Therapy-Family Therapy,,90846,,Encounter,26,80,15596.18,15990.73,316
Allegan,Substance Use Disorder: Outpatient Treatment,"0900, 0906, 0914, 0915, 0916, 0919",90846,HF,Encounter,0,0,0,0,316
Allegan,Therapy-Family Therapy,,90847,,Encounter,48,200,75505.81,78245.64,316
Allegan,Substance Use Disorder: Outpatient Treatment,"0900, 0906, 0914, 0915, 0916, 0919",90847,HF,Encounter,0,0,0,0,316
Allegan,Therapy-Family Therapy,,90849,,Encounter,0,0,0,0,316
Allegan,Therapy-Family Therapy,,90849,HS,Encounter,0,0,0,0,316
Allegan,Substance Use Disorder: Outpatient Treatment,"0900, 0906, 0914, 0915, 0916, 0919",90849,HF,Encounter,0,0,0,0,316
Allegan,Therapy-Group Therapy,,90853,,Encounter,4,32,5096.85,110644.98,316
Allegan,Substance Use Disorder: Outpatient Treatment,"0900, 0906, 0914, 0915, 0916, 0919",90853,HF,Encounter,0,0,0,0,316
Allegan,Pharmacological Management (SED Waiver),,90863,,,0,0,0,0,316
Allegan,Additional Codes-ECT Physician,,90870,,Encounter,0,0,0,0,316
Allegan,Additional Codes-ECT Physician,901,90870,,Encounter,0,0,0,4899.36,316
Allegan,Assessments-Other,,90887,,Encounter,0,0,0,0,316
Allegan,Speech & Language Therapy ,,92507,,Encounter,1,5,756.43,12780.11,316
Allegan,Speech & Language Therapy ,,92508,,Encounter,0,0,0,0,316
Allegan,Speech & Language Therapy ,,92521,,Encounter,0,0,0,0,316
Allegan,Speech & Language Therapy ,,92522,,Encounter,0,0,0,0,316
Allegan,Speech & Language Therapy ,,92523,,Encounter,1,1,154.19,731.88,316
Allegan,Speech & Language Therapy ,,92524,,Encounter,0,0,0,0,316
Allegan,Speech & Language Therapy ,,92526,,Encounter,0,0,0,0,316
Allegan,Speech & Language Therapy ,,92607,,First Hour,0,0,0,0,316
Allegan,Speech & Language Therapy ,,92608,,Each Additional  30 Minutes,0,0,0,0,316
Allegan,Speech & Language Therapy ,,92609,,Encounter,0,0,0,0,316
Allegan,Speech & Language Therapy ,,92610,,Encounter,0,0,0,0,316
Allegan,Psychological Testing PSYCH/PHYS ,,96101,,Per Hour,0,0,0,4514.76,316
Allegan,Assessment for Autism,,96101,U5,Hour,4,5,419.74,835.28,316
Allegan,Psychological Testing by Technician ,,96102,,Per Hour,0,0,0,0,316
Allegan,Assessment for Autism,,96102,U5,Hour,0,0,0,0,316
Allegan,Psychological Testing by Comp ,,96103,,Per Hour,0,0,0,172.55,316
