CMH Name,FirstOfService description,FirstOfRevenue Code,FirstOfHCPCS Code,FirstOfModifier,FirstOfUnit type,SumOfMIC-Cases,SumOfMIC-Units,SumOfMIC-Cost
Allegan,"Local Psychiatric Hospital/IMD PT68 
bundled per diem",0100,,PT68,Day,9,131,128793
Allegan,"Local Psychiatric Hospital/IMD PT68
bundled per diem",0100,,PT68,Day,6,46,5506
Allegan,"Local Psychiatric Hospital/IMD PT68
physician costs excluded","0114, 0124, 0134, 0154",,PT68,Day,1,6,6384
Allegan,"Local Psychiatric Hospital/IMD PT68
physician costs excluded","0114, 0124, 0134, 0154",,PT68,Day,0,0,0
Allegan,"Local Psychiatric Hospital - Acute Community PT73
bundled per diem",0100,,PT73,Day,0,0,0
Allegan,"Local Psychiatric Hospital - Acute Community PT73
bundled per diem",0100,,PT73,Day,0,0,0
Allegan,"Local Psychiatric Hospital - Acute Community PT73
physician costs excluded","0114, 0124, 0134, 0154",,PT73,Day,3,28,22272
Allegan,"Local Psychiatric Hospital - Acute Community PT73
physician costs excluded","0114, 0124, 0134, 0154",,PT73,Day,0,0,0
Allegan,Local Psychiatric Hospital/IMD,,,PT68,Amount,0,0,18051
Allegan,Local Psychiatric Hospital/Acute Community,,,PT73,Amount,0,0,0
Allegan,Inpatient Hospital Ancillary Services - Room and Board,0144,,,Day,0,0,0
Allegan,Inpatient Hospital Ancillary Services - Leave of Absence,0183,,,Day,0,0,0
Allegan,Inpatient Hospital Ancillary Services - Pharmacy,"0250-0254, 0257-0258 ",,,,0,0,0
Allegan,Inpatient Hospital Ancillary Services - Medical/Surgical Supplies and Devices,0270-0272,,,# of items,0,0,0
Allegan,Inpatient Hospital Ancillary Services - Laboratory,"0300-0302, 0305-0307",,,# of tests,0,0,0
Allegan,Inpatient Hospital Ancillary Services - Radiology,0320,,,# of tests,0,0,0
Allegan,ECT Anesthesia,0370,,,,0,0,0
Allegan,Inpatient Hospital Ancillary Services - Respiratory Services,0410,,,# of treatments,0,0,0
Allegan,Inpatient Hospital Ancillary Services -Physical Therapy,0420-0424,,,# of treatments,0,0,0
Allegan,Inpatient Hospital Ancillary Services - Occupational Therapy,0430-0434,,,# of treatments,0,0,0
Allegan,Inpatient Hospital Ancillary Services - Speech-Language Pathology,0440-0444,,,# of treatments,0,0,0
Allegan,Inpatient Hospital Ancillary Services - Emergency Room,0450,,,# of visits,0,0,0
Allegan,Inpatient Hospital Ancillary Services - Pulmonary Function,0460,,,# of tests,0,0,0
