"CMH Name","MIC Group Num","MIC Serv Num","FirstOfMIC Totals","FirstOfService description","FirstOfRevenue Code","FirstOfModifier","FirstOfHCPCS Code","FirstOfUnit type","SumOfMIC-Cases","SumOfMIC-Units","SumOfMIC-Cost","SumOfOther Cost","FirstOfMIC Unique Consumers"
"Allegan",3,3,1548578.00,"Local Psychiatric Hospital/IMD PT68 
bundled per diem","0100","PT68",,"Day",9.00,131.00,128793.00,904562.00,277.00
"Allegan",4,4,1548578.00,"Local Psychiatric Hospital/IMD PT68
bundled per diem","0100","PT68",,"Day",6.00,46.00,5506.00,26153.00,277.00
"Allegan",5,5,1548578.00,"Local Psychiatric Hospital/IMD PT68
physician costs excluded","0114, 0124, 0134, 0154","PT68",,"Day",1.00,6.00,6384.00,6384.00,277.00
"Allegan",6,6,1548578.00,"Local Psychiatric Hospital/IMD PT68
physician costs excluded","0114, 0124, 0134, 0154","PT68",,"Day",0.00,0.00,0.00,0.00,277.00
"Allegan",7,7,1548578.00,"Local Psychiatric Hospital - Acute Community PT73
bundled per diem","0100","PT73",,"Day",0.00,0.00,0.00,347003.00,277.00
"Allegan",8,8,1548578.00,"Local Psychiatric Hospital - Acute Community PT73
bundled per diem","0100","PT73",,"Day",0.00,0.00,0.00,11143.00,277.00
"Allegan",9,9,1548578.00,"Local Psychiatric Hospital - Acute Community PT73
physician costs excluded","0114, 0124, 0134, 0154","PT73",,"Day",3.00,28.00,22272.00,203543.00,277.00
"Allegan",10,10,1548578.00,"Local Psychiatric Hospital - Acute Community PT73
physician costs excluded","0114, 0124, 0134, 0154","PT73",,"Day",0.00,0.00,0.00,2377.00,277.00
"Allegan",12,12,1548578.00,"Local Psychiatric Hospital/IMD",,"PT68",,"Amount",0.00,0.00,18051.00,40601.00,277.00
"Allegan",13,13,1548578.00,"Local Psychiatric Hospital/Acute Community",,"PT73",,"Amount",0.00,0.00,0.00,31776.00,277.00
"Allegan",16,16,1548578.00,"Inpatient Hospital Ancillary Services - Room and Board","0144",,,"Day",0.00,0.00,0.00,0.00,277.00
"Allegan",17,17,1548578.00,"Inpatient Hospital Ancillary Services - Leave of Absence","0183",,,"Day",0.00,0.00,0.00,0.00,277.00
"Allegan",18,18,1548578.00,"Inpatient Hospital Ancillary Services - Pharmacy","0250-0254, 0257-0258 ",,,,0.00,0.00,0.00,0.00,277.00
"Allegan",19,19,1548578.00,"Inpatient Hospital Ancillary Services - Medical/Surgical Supplies and Devices","0270-0272",,,"# of items",0.00,0.00,0.00,0.00,277.00
"Allegan",20,20,1548578.00,"Inpatient Hospital Ancillary Services - Laboratory","0300-0302, 0305-0307",,,"# of tests",0.00,0.00,0.00,0.00,277.00
"Allegan",21,21,1548578.00,"Inpatient Hospital Ancillary Services - Radiology","0320",,,"# of tests",0.00,0.00,0.00,0.00,277.00
"Allegan",22,22,1548578.00,"ECT Anesthesia","0370",,,,0.00,0.00,0.00,0.00,277.00
