CMH Name,MIC Group Num,MIC Serv Num,FirstOfMIC Totals,FirstOfService description,FirstOfRevenue Code,FirstOfModifier,FirstOfHCPCS Code,FirstOfUnit type,SumOfMIC-Cases,SumOfMIC-Units,SumOfMIC-Cost,SumOfOther Cost,FirstOfMIC Unique Consumers
Allegan,3,3,1636564.05,"Local Psychiatric Hospital/IMD PT68 
bundled per diem",0100,PT68,,Day,13,167,187658.6,847692.86,254
Allegan,4,4,1636564.05,"Local Psychiatric Hospital/IMD PT68
bundled per diem",0100,PT68,,Day,6,54,28644.47,85953.4,254
Allegan,5,5,1636564.05,"Local Psychiatric Hospital/IMD PT68
physician costs excluded","0114, 0124, 0134, 0154",PT68,,Day,0,0,0,0,254
Allegan,6,6,1636564.05,"Local Psychiatric Hospital/IMD PT68
physician costs excluded","0114, 0124, 0134, 0154",PT68,,Day,0,0,0,0,254
Allegan,7,7,1636564.05,"Local Psychiatric Hospital - Acute Community PT73
bundled per diem",0100,PT73,,Day,3,19,19610.07,443651.81,254
Allegan,8,8,1636564.05,"Local Psychiatric Hospital - Acute Community PT73
bundled per diem",0100,PT73,,Day,0,0,0,16006.95,254
Allegan,9,9,1636564.05,"Local Psychiatric Hospital - Acute Community PT73
physician costs excluded","0114, 0124, 0134, 0154",PT73,,Day,3,18,17985.75,212732.43,254
Allegan,10,10,1636564.05,"Local Psychiatric Hospital - Acute Community PT73
physician costs excluded","0114, 0124, 0134, 0154",PT73,,Day,0,0,0,4142.39,254
Allegan,12,12,1636564.05,Local Psychiatric Hospital/IMD,,PT68,,Amount,0,0,540,58566,254
Allegan,13,13,1636564.05,Local Psychiatric Hospital/Acute Community,,PT73,,Day,0,0,0,69762.22,254
Allegan,16,16,1636564.05,Inpatient Hospital Ancillary Services - Room and Board,0144,,,# of items,0,0,0,0,254
Allegan,17,17,1636564.05,Inpatient Hospital Ancillary Services - Leave of Absence,0183,,,# of tests,0,0,0,0,254
Allegan,18,18,1636564.05,Inpatient Hospital Ancillary Services - Pharmacy,"0250-0254, 0257-0258",,,# of tests,0,0,0,0,254
Allegan,19,19,1636564.05,Inpatient Hospital Ancillary Services - Medical/Surgical Supplies and Devices,0270-0272,,,,0,0,0,0,254
Allegan,20,20,1636564.05,Inpatient Hospital Ancillary Services - Laboratory,"0300-0302, 0305-0307",,,# of treatments,0,0,0,0,254
Allegan,21,21,1636564.05,Inpatient Hospital Ancillary Services - Radiology,0320,,,# of treatments,0,0,0,0,254
Allegan,22,22,1636564.05,ECT Anesthesia,0370,,,# of treatments,0,0,0,0,254
Allegan,23,23,1636564.05,Inpatient Hospital Ancillary Services - Respiratory Services,0410,,,# of treatments,0,0,0,0,254
Allegan,24,24,1636564.05,Inpatient Hospital Ancillary Services -Physical Therapy,0420-0424,,,# of visits,0,0,0,0,254
Allegan,25,25,1636564.05,Inpatient Hospital Ancillary Services - Occupational Therapy,0430-0434,,,# of tests,0,0,0,0,254
Allegan,26,26,1636564.05,Inpatient Hospital Ancillary Services - Speech-Language Pathology,0440-0444,,,# of tests,0,0,0,0,254
Allegan,27,27,1636564.05,Inpatient Hospital Ancillary Services - Emergency Room,0450,,,# of tests,0,0,0,0,254
Allegan,28,28,1636564.05,Inpatient Hospital Ancillary Services - Pulmonary Function,0460,,,# of units,0,0,0,0,254
Allegan,29,29,1636564.05,Inpatient Hospital Ancillary Services - Audiology,0470-0472,,,,0,0,0,0,254
Allegan,30,30,1636564.05,Inpatient Hospital Ancillary Services - Magnetic Resonance Technology (MRT),0610-0611,,,# of tests,0,0,0,0,254
Allegan,31,31,1636564.05,Inpatient Hospital Ancillary Services - Pharmacy,0636,,,# of tests,0,0,0,0,254
Allegan,32,32,1636564.05,ECT Recovery Room,0710,,,Hour,0,0,0,0,254
Allegan,33,33,1636564.05,Inpatient Hospital Ancillary Services -EKG/ECG,0730-0731,,,Encounter,0,0,0,0,254
Allegan,34,34,1636564.05,Inpatient Hospital Ancillary Services - EEG,0740,,,# of visits,0,0,0,0,254
Allegan,35,35,1636564.05,Crisis Observation Care,0762,,,Day,0,0,0,0,254
Allegan,36,36,1636564.05,Additional Codes-ECT Facility Charge,0901,,,Day,0,0,0,0,254
Allegan,37,37,1636564.05,Inpatient Hospital Ancillary Services - Psychiatric/Psychological Treatments/Services,"0900, 0902-0904, 0911, 0914-0919",,,# of tests,0,0,0,0,254
Allegan,38,38,1636564.05,Outpatient Partial Hospitalization,0912,,,# of visits,2,10,5348.2,21186.98,254
Allegan,39,39,1636564.05,Outpatient Partial Hospitalization,0913,,,Minutes,0,0,0,0,254
Allegan,40,40,1636564.05,Inpatient Hospital Ancillary Services - Other Diagnosis Services,0925,,,Minutes,0,0,0,0,254
Allegan,41,41,1636564.05,Inpatient Hospital Ancillary Services - Other Therapeutic Services,0940-0942,,,Encounter,0,0,0,0,254
Allegan,42,42,1636564.05,Additional Codes-ECT Anesthesia,,,00104,First 30 Minutes,0,0,0,0,254
Allegan,43,43,1636564.05,Additional Codes-ECT Anesthesia,0901,,00104,15 Minutes,0,0,0,0,254
Allegan,44,44,1636564.05,"ABA Behavior Identification Assessment 
(Note: code retired 12/31/18)",,U5,0359T,Each Additional 30 Minutes,2,2,1137.11,18264.83,254
Allegan,45,45,1636564.05,ABA Behavioral Follow-up Assessment (reporting units of per 15 minutes effective 1/1/19),,U5,0362T,First 30 Minutes,0,0,0,84.27,254
Allegan,46,46,1636564.05,ABA Behavioral Follow-up Assessment (reporting units of per 15 minutes effective 1/1/19),,U5,0362T,Each Additional 30 Minutes,0,0,0,842.59,254
Allegan,47,47,1636564.05,"ABA Behavioral Follow-up Assessment 
(Note: code retired 12/31/18)",,U5,0363T,First 30 Minutes,0,0,0,343.58,254
Allegan,48,48,1636564.05,"ABA Adaptive Treatment
(Note: code retired 12/31/18)",,U5,0364T,Each Additional 30 Minutes,2,85,2517.04,67012.51,254
Allegan,49,49,1636564.05,"ABA Adaptive Treatment
(Note: code retired 12/31/18)",,U5,0365T,First 30 Minutes,2,483,14302.72,307499.5,254
Allegan,50,50,1636564.05,"ABA Group Adaptive Behavior Treatment
(Note: code retired 12/31/18)",,U5,0366T,Each Additional 30 Minutes,0,0,0,0,254
Allegan,51,51,1636564.05,"ABA Group Adaptive Behavior Treatment
(Note: code retired 12/31/18)",,U5,0367T,Encounter,0,0,0,0,254
