Code,mod_desc
0100,Inpatient Psychiatric Hospital
0104,Additional Codes
0114,Inpatient Psychiatric Hospital
0250,Inpatient Hospital Ancillary Services
0270,Inpatient Hospital Ancillary Services
0300,Inpatient Hospital Ancillary Services
0370,Ect Anesthesia
0410,Inpatient Hospital Ancillary Services
0430,Inpatient Hospital Ancillary Services
0450,Inpatient Hospital Ancillary Services
0460,Inpatient Hospital Ancillary Services
0636,Inpatient Hospital Ancillary Services
0730,Inpatient Hospital Ancillary Services
0762,Crisis Observation Care
0900,Inpatient Hospital Ancillary Services
0901,Additional Codes
0912,Outpatient Partial Hospitalization
0913,Outpatient Partial Hospitalization
231,Inpatient Psychiatric Hospital
232,Inpatient Psychiatric Hospital
80100,Drug Screen For Methadone Clients Only
80101,Drug Screen For Methadone Clients Only
82075,Alcohol Breath Test For Methadone Clients Only
89,Other
90772,Medication Administration
90782,Medication Administration
90785,Outpatient Therapy
90788,Medication Administration
90791,Assessment
90792,Assessment
90801,Outpatient Therapy
90802,Outpatient Therapy
90804,Outpatient Therapy
90805,Outpatient Therapy
90806,Outpatient Therapy
90807,Outpatient Therapy
90808,Outpatient Therapy
90809,Outpatient Therapy
90810,Outpatient Therapy
90811,Outpatient Therapy
90812,Outpatient Therapy
90813,Outpatient Therapy
90814,Outpatient Therapy
90815,Outpatient Therapy
90816,Outpatient Therapy
90817,Outpatient Therapy
90818,Outpatient Therapy
90819,Outpatient Therapy
90821,Outpatient Therapy
90822,Outpatient Therapy
90823,Outpatient Therapy
90824,Outpatient Therapy
90826,Outpatient Therapy
90827,Outpatient Therapy
90828,Outpatient Therapy
90829,Outpatient Therapy
90832,Outpatient Therapy
90833,Outpatient Therapy
90834,Outpatient Therapy
90836,Outpatient Therapy
90837,Outpatient Therapy
90838,Outpatient Therapy
90839,Outpatient Therapy
90840,Outpatient Therapy
90846,Outpatient Therapy
90847,Outpatient Therapy
90849,Outpatient Therapy
90853,Outpatient Therapy
90857,Outpatient Therapy
90862,Outpatient Therapy
90870,Outpatient Therapy
90887,Outpatient Therapy
92506,Speech & Language Therapy
92507,Speech & Language Therapy
92508,Speech & Language Therapy
92521,Speech & Language Therapy
92522,Speech & Language Therapy
92523,Speech & Language Therapy
92524,Speech & Language Therapy
92526,Speech & Language Therapy
92610,Speech & Language Therapy
93,Peer Directed And Operated Support Services
96100,Assessment
96101,Psychological Testing
96102,Psychological Testing
96103,Psychological Testing
96105,Assessment
96110,Assessment
96111,Assessment
96115,Assessment
96116,Neurobehavioral Status Exam
96117,Assessment
96118,Neuropsychological Testing
96119,Neuropsychological Testing
96120,Neuropsychological Testing
96372,Medication Administration
97,Pharmacy
97001,Occupational And Physical Therapy
