"FY","PIHP","PIHPname","CMHSP","Population","Phase","Name","Desc","People","Undup"
"2011","3","LRP","Allegan","DD","Start","total_in","Total number of people who telephoned or walked in",56,FALSE
"2011","3","LRP","Allegan","DD","Entry","out_nonMH","People seeking services not related to behavioral health needs",0,FALSE
"2011","3","LRP","Allegan","DD","Entry","seeking_SUD","People seeking services referred to substance abuse services",0,FALSE
"2011","3","LRP","Allegan","DD","Entry","req_CMHsvc","People seeking services who requested services the CMHSP provides",56,FALSE
"2011","3","LRP","Allegan","DD","Screening","screened_out","People requesting CMHSP services who did not meet eligibility through phone or other screen",8,FALSE
"2011","3","LRP","Allegan","DD","Screening","assmt_sched","People requesting CMHSP services who were scheduled for assessment",48,FALSE
"2011","3","LRP","Allegan","DD","Eligibility","no_elig_deter","People scheduled for assessment who did not receive eligibility determination (e.g. dropped out, no show, etc.)",3,FALSE
"2011","3","LRP","Allegan","DD","Eligibility","rfr_to_FFS","People not served because they were MA FFS enrolled and referred to other MA FFS providers (not health plan)",0,FALSE
"2011","3","LRP","Allegan","DD","Eligibility","rfr_to_MHP","People not served because they were MA HP enrolled and referred out to MA health plan",0,FALSE
"2011","3","LRP","Allegan","DD","Eligibility","not_eligible","People scheduled for assessment who did not meet CMHSP eligibility criteria",0,FALSE
"2011","3","LRP","Allegan","DD","Eligibility","rfr_to_mh_Y","People who were ineligible for CMHSP services and not referred out to other mental health providers",0,FALSE
"2011","3","LRP","Allegan","DD","Eligibility","rfr_to_mh_N","People who were ineligible for CMHSP services and were referred out to other mental health providers",0,FALSE
"2011","3","LRP","Allegan","DD","Eligibility","eligible","People meeting CMHSP eligibilty criteria",45,FALSE
"2011","3","LRP","Allegan","DD","Placement","urgent_crit","Eligible persons who met emergency/urgent conditions criteria",0,FALSE
"2011","3","LRP","Allegan","DD","Placement","immed_crit","Eligible persons who met immediate admission criteria",45,FALSE
"2011","3","LRP","Allegan","DD","Waiting","waiting","Eligible persons who were put on a waiting list",0,FALSE
"2011","3","LRP","Allegan","DD","Waiting","some_wait","People who received some CMHSP services, but were wait listed for other services",0,FALSE
"2011","3","LRP","Allegan","DD","Waiting","all_wait","People who were wait-listed for all CMHSP services",0,FALSE
"2011","3","LRP","Allegan","MIA","Start","total_in","Total number of people who telephoned or walked in",521,FALSE
"2011","3","LRP","Allegan","MIA","Entry","out_nonMH","People seeking services not related to behavioral health needs",0,FALSE
"2011","3","LRP","Allegan","MIA","Entry","seeking_SUD","People seeking services referred to substance abuse services",0,FALSE
"2011","3","LRP","Allegan","MIA","Entry","req_CMHsvc","People seeking services who requested services the CMHSP provides",521,FALSE
"2011","3","LRP","Allegan","MIA","Screening","screened_out","People requesting CMHSP services who did not meet eligibility through phone or other screen",173,FALSE
"2011","3","LRP","Allegan","MIA","Screening","assmt_sched","People requesting CMHSP services who were scheduled for assessment",348,FALSE
"2011","3","LRP","Allegan","MIA","Eligibility","no_elig_deter","People scheduled for assessment who did not receive eligibility determination (e.g. dropped out, no show, etc.)",72,FALSE
"2011","3","LRP","Allegan","MIA","Eligibility","rfr_to_FFS","People not served because they were MA FFS enrolled and referred to other MA FFS providers (not health plan)",0,FALSE
"2011","3","LRP","Allegan","MIA","Eligibility","rfr_to_MHP","People not served because they were MA HP enrolled and referred out to MA health plan",11,FALSE
"2011","3","LRP","Allegan","MIA","Eligibility","not_eligible","People scheduled for assessment who did not meet CMHSP eligibility criteria",13,FALSE
"2011","3","LRP","Allegan","MIA","Eligibility","rfr_to_mh_Y","People who were ineligible for CMHSP services and not referred out to other mental health providers",0,FALSE
"2011","3","LRP","Allegan","MIA","Eligibility","rfr_to_mh_N","People who were ineligible for CMHSP services and were referred out to other mental health providers",13,FALSE
"2011","3","LRP","Allegan","MIA","Eligibility","eligible","People meeting CMHSP eligibilty criteria",252,FALSE
"2011","3","LRP","Allegan","MIA","Placement","urgent_crit","Eligible persons who met emergency/urgent conditions criteria",29,FALSE
"2011","3","LRP","Allegan","MIA","Placement","immed_crit","Eligible persons who met immediate admission criteria",252,FALSE
"2011","3","LRP","Allegan","MIA","Waiting","waiting","Eligible persons who were put on a waiting list",0,FALSE
