population,code_mod,codeM_shortDesc,cost,pct_to_total,running_total,
DD,,,,,,
DD,H0043TG/TT,Community Living Supports in Independent living/own home  ( H0043TG/TT ),10707169,22.68,22.68,
DD,H2014,Skill-Building/Non-Vocational  ( H2014 ),5809873,12.31,34.99,
DD,H0043TF,Community Living Supports in Independent living/own home  ( H0043TF ),4906861,10.4,45.39,
DD,H0043TG,Community Living Supports in Independent living/own home  ( H0043TG ),4076669,8.64,54.03,
DD,H2016,Community Living Supports (Daily)  ( H2016 ),3401171,7.21,61.24,
DD,T1020,Personal Care in Licensed Specialized Residential Setting  ( T1020 ),3279002,6.95,68.19,
DD,T1016,Case Management  ( T1016 ),2328329,4.93,73.12,
DD,0365TU5,ABA Adaptive Treatment  ( 0365TU5 ),1993652,4.22,77.34,
DD,H0043TF/TT,Community Living Supports in Independent living/own home  ( H0043TF/TT ),1421735,3.01,80.35,80/20
DD,H2023,Supported Employment Services  ( H2023 ),1385932,2.94,83.29,
DD,H0043,Community Living Supports in Independent living/own home  ( H0043 ),951620,2.02,85.31,
DD,H2015,Community Living Supports 15 minutes  ( H2015 ),912308,1.93,87.24,
DD,T1000TD,Private duty nursing (15 min)  ( T1000TD ),621980,1.32,88.56,
DD,T1005,Respite services (15 min)  ( T1005 ),558802,1.18,89.74,
DD,T2015,Out of Home Prevocational Service  ( T2015 ),526326,1.12,90.86,
DD,T1017,Case Management  ( T1017 ),475013,1.01,91.87,
DD,0364TU5,ABA Adaptive Treatment  ( 0364TU5 ),318063,0.67,92.54,
DD,0369TU5,ABA Clinical Observation and Direction of Adaptive Behavior Treatment  ( 0369TU5 ),264603,0.56,93.1,
DD,T2025,Fiscal Intermediary Services  ( T2025 ),264415,0.56,93.66,
DD,99214,Psychiatric office visit  ( 99214 ),242964,0.51,94.17,
DD,H0031,Assessment  ( H0031 ),154901,0.33,94.5,
DD,100PT73,Inpatient Psychiatric Hospital  ( 100PT73 ),149648,0.32,94.82,
DD,0368TU5,ABA Clinical Observation and Direction of Adaptive Behavior Treatment  ( 0368TU5 ),144937,0.31,95.13,
DD,S5161,Personal Emergency Response System (PERS)  ( S5161 ),139202,0.29,95.42,
DD,H2014HK,Skill-Building/Non-Vocational  ( H2014HK ),133352,0.28,95.7,
